Time;Cumm.mm
25/03/2016 17:32;4.6
26/03/2016 05:32;2.2
26/03/2016 17:32;0.2
27/03/2016 05:32;0
27/03/2016 17:32;0
28/03/2016 05:32;0
28/03/2016 17:32;2.4
29/03/2016 05:32;1.6
29/03/2016 17:32;0
30/03/2016 05:32;0
30/03/2016 17:32;7.6
31/03/2016 05:32;16
31/03/2016 17:32;0.2
01/04/2016 05:32;5.2
01/04/2016 17:32;0.8
02/04/2016 05:32;0
02/04/2016 17:32;0
03/04/2016 05:32;0
03/04/2016 17:32;0
04/04/2016 05:32;1
04/04/2016 17:32;2.2
05/04/2016 05:32;4
05/04/2016 17:32;5.6
06/04/2016 05:32;2
06/04/2016 17:32;0
07/04/2016 05:32;0.4
07/04/2016 17:32;0.4
08/04/2016 05:32;0
08/04/2016 17:32;0
09/04/2016 05:32;0
09/04/2016 17:32;0
10/04/2016 05:32;0
10/04/2016 17:32;0
11/04/2016 05:32;0
11/04/2016 17:32;0
12/04/2016 05:32;2.8
12/04/2016 17:32;0.2
13/04/2016 05:32;0
13/04/2016 17:32;0
14/04/2016 05:32;0
14/04/2016 17:32;0
15/04/2016 05:32;0.2
15/04/2016 17:32;5.2
16/04/2016 05:32;5.4
16/04/2016 17:32;9
17/04/2016 05:32;8.6
17/04/2016 17:32;4.4
18/04/2016 05:32;0.6
18/04/2016 17:32;0.2
19/04/2016 05:32;0
19/04/2016 17:32;0
20/04/2016 05:32;0
20/04/2016 17:32;0
21/04/2016 05:32;0
21/04/2016 17:32;0
22/04/2016 05:32;0
22/04/2016 17:32;0
23/04/2016 05:32;0
23/04/2016 17:32;1.6
24/04/2016 05:32;0.2
24/04/2016 17:32;0.6
25/04/2016 05:32;0
25/04/2016 17:32;0.2
26/04/2016 05:32;0.2
26/04/2016 17:32;4
27/04/2016 05:32;2.8
27/04/2016 17:32;0.2
28/04/2016 05:32;0.2
28/04/2016 17:32;1.6
29/04/2016 05:32;0.4
29/04/2016 17:32;0.2
30/04/2016 05:32;0
30/04/2016 17:32;0
01/05/2016 05:32;23.4
01/05/2016 17:32;1.6
02/05/2016 05:32;6.6
02/05/2016 17:32;0
03/05/2016 05:32;0
03/05/2016 17:32;5.2
04/05/2016 05:32;0.2
04/05/2016 17:32;0
05/05/2016 05:32;0
05/05/2016 17:32;0
06/05/2016 05:32;0
06/05/2016 17:32;0
07/05/2016 05:32;0
07/05/2016 17:32;0
08/05/2016 05:32;0
08/05/2016 17:32;0
09/05/2016 05:32;0
09/05/2016 17:32;0
10/05/2016 05:32;2.4
10/05/2016 17:32;2.4
11/05/2016 05:32;0.2
11/05/2016 17:32;0
12/05/2016 05:32;19.4
12/05/2016 17:32;16.6
13/05/2016 05:32;2.2
13/05/2016 17:32;0.2
14/05/2016 05:32;8
14/05/2016 17:32;0.2
15/05/2016 05:32;0
15/05/2016 17:32;0
16/05/2016 05:32;0.2
16/05/2016 17:32;2.2
17/05/2016 05:32;0.2
17/05/2016 17:32;0
18/05/2016 05:32;0
18/05/2016 17:32;0
19/05/2016 05:32;5.6
19/05/2016 17:32;0
20/05/2016 05:32;0.2
20/05/2016 17:32;0
21/05/2016 05:32;0
21/05/2016 17:32;0
22/05/2016 05:32;0
22/05/2016 17:32;0
23/05/2016 05:32;4.8
23/05/2016 17:32;4.8
24/05/2016 05:32;0.2
24/05/2016 17:32;0.6
25/05/2016 05:32;0
25/05/2016 17:32;0
26/05/2016 05:32;0
26/05/2016 17:32;0
27/05/2016 05:32;1.2
27/05/2016 17:32;0
28/05/2016 05:32;0
28/05/2016 17:32;0
29/05/2016 05:32;10.6
29/05/2016 17:32;10.2
30/05/2016 05:32;7.8
30/05/2016 17:32;14.2
31/05/2016 05:32;0.2
31/05/2016 17:32;0
01/06/2016 05:32;0
01/06/2016 17:32;0.2
02/06/2016 05:32;4.8
02/06/2016 17:32;0.8
03/06/2016 05:32;9.4
03/06/2016 17:32;0.4
04/06/2016 05:32;6.6
04/06/2016 17:32;16.6
05/06/2016 05:32;0.2
05/06/2016 17:32;0
06/06/2016 05:32;0.2
06/06/2016 17:32;0
07/06/2016 05:32;0
07/06/2016 17:32;0
08/06/2016 05:32;1
08/06/2016 17:32;6.6
09/06/2016 05:32;2.6
09/06/2016 17:32;0
10/06/2016 05:32;0.2
10/06/2016 17:32;0
11/06/2016 05:32;0
11/06/2016 17:32;1.2
12/06/2016 05:32;5.4
12/06/2016 17:32;1.2
13/06/2016 05:32;7.6
13/06/2016 17:32;2
14/06/2016 05:32;2.6
14/06/2016 17:32;12.8
15/06/2016 05:32;1
15/06/2016 17:32;1.4
16/06/2016 05:32;0.8
16/06/2016 17:32;1.4
17/06/2016 05:32;17.8
17/06/2016 17:32;0.4
18/06/2016 05:32;0.2
18/06/2016 17:32;3.2
19/06/2016 05:32;4
19/06/2016 17:32;0
20/06/2016 05:32;0
20/06/2016 17:32;0
21/06/2016 05:32;5
21/06/2016 17:32;0.2
22/06/2016 05:32;0.2
22/06/2016 17:32;0
23/06/2016 05:32;0
23/06/2016 17:32;0
24/06/2016 05:32;0
24/06/2016 17:32;0.2
25/06/2016 05:32;22.2
25/06/2016 17:32;3.8
26/06/2016 05:32;0.2
26/06/2016 17:32;0
27/06/2016 05:32;0
27/06/2016 17:32;0
28/06/2016 05:32;0
28/06/2016 17:32;1.2
29/06/2016 05:32;0
29/06/2016 17:32;0
30/06/2016 05:32;0
30/06/2016 17:32;0
01/07/2016 05:32;0
01/07/2016 17:32;0
02/07/2016 05:32;0
02/07/2016 17:32;0
03/07/2016 05:32;0
03/07/2016 17:32;0
04/07/2016 05:32;0
04/07/2016 17:32;0
05/07/2016 05:32;0
05/07/2016 17:32;0.2
06/07/2016 05:32;0
06/07/2016 17:32;0
07/07/2016 05:32;0
07/07/2016 17:32;0
08/07/2016 05:32;0
08/07/2016 17:32;0
09/07/2016 05:32;0
09/07/2016 17:32;0
10/07/2016 05:32;0
10/07/2016 17:32;0
11/07/2016 05:32;0
11/07/2016 17:32;0.2
12/07/2016 05:32;0
