Date;Rain.mm
27/03/2016 00:00;0.2
28/03/2016 00:00;0
29/03/2016 00:00;3.4
30/03/2016 00:00;0.6
31/03/2016 00:00;18.2
01/04/2016 00:00;8.4
02/04/2016 00:00;3.2
03/04/2016 00:00;0
04/04/2016 00:00;0.8
05/04/2016 00:00;2.8
06/04/2016 00:00;10.2
07/04/2016 00:00;1
08/04/2016 00:00;0.8
09/04/2016 00:00;0
10/04/2016 00:00;0
11/04/2016 00:00;0
12/04/2016 00:00;0
13/04/2016 00:00;3
14/04/2016 00:00;0
15/04/2016 00:00;0.2
16/04/2016 00:00;5.2
17/04/2016 00:00;18.2
18/04/2016 00:00;9.2
19/04/2016 00:00;0.8
20/04/2016 00:00;0
21/04/2016 00:00;0
22/04/2016 00:00;0
23/04/2016 00:00;0
24/04/2016 00:00;1.8
25/04/2016 00:00;0.6
26/04/2016 00:00;0.2
27/04/2016 00:00;6.4
28/04/2016 00:00;1
29/04/2016 00:00;2
30/04/2016 00:00;0.2
01/05/2016 00:00;15
02/05/2016 00:00;16.6
03/05/2016 00:00;0
04/05/2016 00:00;5.2
05/05/2016 00:00;0.2
06/05/2016 00:00;0
07/05/2016 00:00;0
08/05/2016 00:00;0
09/05/2016 00:00;0
10/05/2016 00:00;0
11/05/2016 00:00;4.8
12/05/2016 00:00;18.2
13/05/2016 00:00;20
14/05/2016 00:00;8.4
15/05/2016 00:00;0.2
16/05/2016 00:00;0
17/05/2016 00:00;2.6
18/05/2016 00:00;0
19/05/2016 00:00;3.2
20/05/2016 00:00;2.4
21/05/2016 00:00;0.2
22/05/2016 00:00;0
23/05/2016 00:00;1.8
24/05/2016 00:00;8
25/05/2016 00:00;0.6
26/05/2016 00:00;0
27/05/2016 00:00;0
28/05/2016 00:00;1.2
29/05/2016 00:00;1.2
30/05/2016 00:00;21.2
31/05/2016 00:00;20.6
01/06/2016 00:00;0
02/06/2016 00:00;0.8
03/06/2016 00:00;5
04/06/2016 00:00;15.2
05/06/2016 00:00;18
06/06/2016 00:00;0.2
07/06/2016 00:00;0
08/06/2016 00:00;0.8
09/06/2016 00:00;8.6
10/06/2016 00:00;0.8
11/06/2016 00:00;0.2
12/06/2016 00:00;1.6
13/06/2016 00:00;11.8
14/06/2016 00:00;6.6
15/06/2016 00:00;12.8
16/06/2016 00:00;3.2
17/06/2016 00:00;19
18/06/2016 00:00;0.6
19/06/2016 00:00;7.4
20/06/2016 00:00;0
21/06/2016 00:00;4
22/06/2016 00:00;1.2
23/06/2016 00:00;0.2
24/06/2016 00:00;0
25/06/2016 00:00;0.2
26/06/2016 00:00;26
27/06/2016 00:00;0.2
28/06/2016 00:00;0
29/06/2016 00:00;1.2
30/06/2016 00:00;0
01/07/2016 00:00;0
02/07/2016 00:00;0
03/07/2016 00:00;0
04/07/2016 00:00;0
05/07/2016 00:00;0
06/07/2016 00:00;0.2
07/07/2016 00:00;0
08/07/2016 00:00;0
09/07/2016 00:00;0
10/07/2016 00:00;0
11/07/2016 00:00;0
12/07/2016 00:00;14
