Time;Cumm.mm
25/03/2016 06:02;0.2
25/03/2016 06:32;0
25/03/2016 07:02;0
25/03/2016 07:32;0.2
25/03/2016 08:02;0
25/03/2016 08:32;0.2
25/03/2016 09:02;0.2
25/03/2016 09:32;0.2
25/03/2016 10:02;0.4
25/03/2016 10:32;0.2
25/03/2016 11:02;0.4
25/03/2016 11:32;0.4
25/03/2016 12:02;0.4
25/03/2016 12:32;0.4
25/03/2016 13:02;0.2
25/03/2016 13:32;0.4
25/03/2016 14:02;0.2
25/03/2016 14:32;0.2
25/03/2016 15:02;0
25/03/2016 15:32;0.2
25/03/2016 16:02;0
25/03/2016 16:32;0
25/03/2016 17:02;0
25/03/2016 17:32;0.2
25/03/2016 18:02;0
25/03/2016 18:32;0
25/03/2016 19:02;0
25/03/2016 19:32;0.2
25/03/2016 20:02;0
25/03/2016 20:32;0
25/03/2016 21:02;0.4
25/03/2016 21:32;0.6
25/03/2016 22:02;1
25/03/2016 22:32;0
25/03/2016 23:02;0
25/03/2016 23:32;0
26/03/2016 00:02;0
26/03/2016 00:32;0
26/03/2016 01:02;0
26/03/2016 01:32;0
26/03/2016 02:02;0
26/03/2016 02:32;0
26/03/2016 03:02;0
26/03/2016 03:32;0
26/03/2016 04:02;0
26/03/2016 04:32;0
26/03/2016 05:02;0
26/03/2016 05:32;0
26/03/2016 06:02;0.2
26/03/2016 06:32;0
26/03/2016 07:02;0
26/03/2016 07:32;0
26/03/2016 08:02;0
26/03/2016 08:32;0
26/03/2016 09:02;0
26/03/2016 09:32;0
26/03/2016 10:02;0
26/03/2016 10:32;0
26/03/2016 11:02;0
26/03/2016 11:32;0
26/03/2016 12:02;0
26/03/2016 12:32;0
26/03/2016 13:02;0
26/03/2016 13:32;0
26/03/2016 14:02;0
26/03/2016 14:32;0
26/03/2016 15:02;0
26/03/2016 15:32;0
26/03/2016 16:02;0
26/03/2016 16:32;0
26/03/2016 17:02;0
26/03/2016 17:32;0
26/03/2016 18:02;0
26/03/2016 18:32;0
26/03/2016 19:02;0
26/03/2016 19:32;0
26/03/2016 20:02;0
26/03/2016 20:32;0
26/03/2016 21:02;0
26/03/2016 21:32;0
26/03/2016 22:02;0
26/03/2016 22:32;0
26/03/2016 23:02;0
26/03/2016 23:32;0
27/03/2016 00:02;0
27/03/2016 00:32;0
27/03/2016 01:02;0
27/03/2016 01:32;0
27/03/2016 02:02;0
27/03/2016 02:32;0
27/03/2016 03:02;0
27/03/2016 03:32;0
27/03/2016 04:02;0
27/03/2016 04:32;0
27/03/2016 05:02;0
27/03/2016 05:32;0
27/03/2016 06:02;0
27/03/2016 06:32;0
27/03/2016 07:02;0
27/03/2016 07:32;0
27/03/2016 08:02;0
27/03/2016 08:32;0
27/03/2016 09:02;0
27/03/2016 09:32;0
27/03/2016 10:02;0
27/03/2016 10:32;0
27/03/2016 11:02;0
27/03/2016 11:32;0
27/03/2016 12:02;0
27/03/2016 12:32;0
27/03/2016 13:02;0
27/03/2016 13:32;0
27/03/2016 14:02;0
27/03/2016 14:32;0
27/03/2016 15:02;0
27/03/2016 15:32;0
27/03/2016 16:02;0
27/03/2016 16:32;0
27/03/2016 17:02;0
27/03/2016 17:32;0
27/03/2016 18:02;0
27/03/2016 18:32;0
27/03/2016 19:02;0
27/03/2016 19:32;0
27/03/2016 20:02;0
27/03/2016 20:32;0
27/03/2016 21:02;0
27/03/2016 21:32;0
27/03/2016 22:02;0
27/03/2016 22:32;0
27/03/2016 23:02;0
27/03/2016 23:32;0
28/03/2016 00:02;0
28/03/2016 00:32;0
28/03/2016 01:02;0
28/03/2016 01:32;0
28/03/2016 02:02;0
28/03/2016 02:32;0
28/03/2016 03:02;0
28/03/2016 03:32;0
28/03/2016 04:02;0
28/03/2016 04:32;0
28/03/2016 05:02;0
28/03/2016 05:32;0
28/03/2016 06:02;0
28/03/2016 06:32;0
28/03/2016 07:02;0.2
28/03/2016 07:32;0
28/03/2016 08:02;0
28/03/2016 08:32;0
28/03/2016 09:02;0
28/03/2016 09:32;0
28/03/2016 10:02;0
28/03/2016 10:32;0
28/03/2016 11:02;0
28/03/2016 11:32;0
28/03/2016 12:02;0
28/03/2016 12:32;0
28/03/2016 13:02;0
28/03/2016 13:32;0
28/03/2016 14:02;0
28/03/2016 14:32;0
28/03/2016 15:02;0
28/03/2016 15:32;0
28/03/2016 16:02;0
28/03/2016 16:32;0.2
28/03/2016 17:02;1.4
28/03/2016 17:32;0.6
28/03/2016 18:02;0.4
28/03/2016 18:32;0
28/03/2016 19:02;0
28/03/2016 19:32;0.2
28/03/2016 20:02;0.2
28/03/2016 20:32;0
28/03/2016 21:02;0
28/03/2016 21:32;0
28/03/2016 22:02;0
28/03/2016 22:32;0.2
28/03/2016 23:02;0
28/03/2016 23:32;0
29/03/2016 00:02;0
29/03/2016 00:32;0
29/03/2016 01:02;0
29/03/2016 01:32;0
29/03/2016 02:02;0
29/03/2016 02:32;0.2
29/03/2016 03:02;0.4
29/03/2016 03:32;0
29/03/2016 04:02;0
29/03/2016 04:32;0
29/03/2016 05:02;0
29/03/2016 05:32;0
29/03/2016 06:02;0
29/03/2016 06:32;0
29/03/2016 07:02;0
29/03/2016 07:32;0
29/03/2016 08:02;0
29/03/2016 08:32;0
29/03/2016 09:02;0
29/03/2016 09:32;0
29/03/2016 10:02;0
29/03/2016 10:32;0
29/03/2016 11:02;0
29/03/2016 11:32;0
29/03/2016 12:02;0
29/03/2016 12:32;0
29/03/2016 13:02;0
29/03/2016 13:32;0
29/03/2016 14:02;0
29/03/2016 14:32;0
29/03/2016 15:02;0
29/03/2016 15:32;0
29/03/2016 16:02;0
29/03/2016 16:32;0
29/03/2016 17:02;0
29/03/2016 17:32;0
29/03/2016 18:02;0
29/03/2016 18:32;0
29/03/2016 19:02;0
29/03/2016 19:32;0
29/03/2016 20:02;0
29/03/2016 20:32;0
29/03/2016 21:02;0
29/03/2016 21:32;0
29/03/2016 22:02;0
29/03/2016 22:32;0
29/03/2016 23:02;0
29/03/2016 23:32;0
30/03/2016 00:02;0
30/03/2016 00:32;0
30/03/2016 01:02;0
30/03/2016 01:32;0
30/03/2016 02:02;0
30/03/2016 02:32;0
30/03/2016 03:02;0
30/03/2016 03:32;0
30/03/2016 04:02;0
30/03/2016 04:32;0
30/03/2016 05:02;0
30/03/2016 05:32;0
30/03/2016 06:02;0.2
30/03/2016 06:32;0
30/03/2016 07:02;0
30/03/2016 07:32;0
30/03/2016 08:02;1.2
30/03/2016 08:32;1.2
30/03/2016 09:02;1.4
30/03/2016 09:32;1.2
30/03/2016 10:02;0.6
30/03/2016 10:32;0.2
30/03/2016 11:02;0.2
30/03/2016 11:32;0.4
30/03/2016 12:02;0.2
30/03/2016 12:32;0.4
30/03/2016 13:02;0.2
30/03/2016 13:32;0
30/03/2016 14:02;0
30/03/2016 14:32;0.2
30/03/2016 15:02;0
30/03/2016 15:32;0
30/03/2016 16:02;0
30/03/2016 16:32;0
30/03/2016 17:02;0
30/03/2016 17:32;0
30/03/2016 18:02;0
30/03/2016 18:32;0
30/03/2016 19:02;0
30/03/2016 19:32;0
30/03/2016 20:02;0
30/03/2016 20:32;0.2
30/03/2016 21:02;0.6
30/03/2016 21:32;2.2
30/03/2016 22:02;1.6
30/03/2016 22:32;0.4
30/03/2016 23:02;0.4
30/03/2016 23:32;2.4
31/03/2016 00:02;2.8
31/03/2016 00:32;1.6
31/03/2016 01:02;1
31/03/2016 01:32;2
31/03/2016 02:02;0.8
31/03/2016 02:32;0
31/03/2016 03:02;0
31/03/2016 03:32;0
31/03/2016 04:02;0
31/03/2016 04:32;0
31/03/2016 05:02;0
31/03/2016 05:32;0
31/03/2016 06:02;0
31/03/2016 06:32;0
31/03/2016 07:02;0
31/03/2016 07:32;0.2
31/03/2016 08:02;0
31/03/2016 08:32;0
31/03/2016 09:02;0
31/03/2016 09:32;0
31/03/2016 10:02;0
31/03/2016 10:32;0
31/03/2016 11:02;0
31/03/2016 11:32;0
31/03/2016 12:02;0
31/03/2016 12:32;0
31/03/2016 13:02;0
31/03/2016 13:32;0
31/03/2016 14:02;0
31/03/2016 14:32;0
31/03/2016 15:02;0
31/03/2016 15:32;0
31/03/2016 16:02;0
31/03/2016 16:32;0
31/03/2016 17:02;0
31/03/2016 17:32;0
31/03/2016 18:02;0
31/03/2016 18:32;0.2
31/03/2016 19:02;0
31/03/2016 19:32;0
31/03/2016 20:02;0
31/03/2016 20:32;0
31/03/2016 21:02;0
31/03/2016 21:32;0
31/03/2016 22:02;0
31/03/2016 22:32;0.2
31/03/2016 23:02;0.8
31/03/2016 23:32;0.8
01/04/2016 00:02;0.8
01/04/2016 00:32;0.6
01/04/2016 01:02;0.8
01/04/2016 01:32;0
01/04/2016 02:02;0
01/04/2016 02:32;0
01/04/2016 03:02;0.2
01/04/2016 03:32;0.4
01/04/2016 04:02;0.2
01/04/2016 04:32;0
01/04/2016 05:02;0
01/04/2016 05:32;0.2
01/04/2016 06:02;0.2
01/04/2016 06:32;0
01/04/2016 07:02;0.2
01/04/2016 07:32;0.2
01/04/2016 08:02;0.2
01/04/2016 08:32;0
01/04/2016 09:02;0
01/04/2016 09:32;0
01/04/2016 10:02;0
01/04/2016 10:32;0
01/04/2016 11:02;0
01/04/2016 11:32;0
01/04/2016 12:02;0
01/04/2016 12:32;0
01/04/2016 13:02;0
01/04/2016 13:32;0
01/04/2016 14:02;0
01/04/2016 14:32;0
01/04/2016 15:02;0
01/04/2016 15:32;0
01/04/2016 16:02;0
01/04/2016 16:32;0
01/04/2016 17:02;0
01/04/2016 17:32;0
01/04/2016 18:02;0
01/04/2016 18:32;0
01/04/2016 19:02;0
01/04/2016 19:32;0
01/04/2016 20:02;0
01/04/2016 20:32;0
01/04/2016 21:02;0
01/04/2016 21:32;0
01/04/2016 22:02;0
01/04/2016 22:32;0
01/04/2016 23:02;0
01/04/2016 23:32;0
02/04/2016 00:02;0
02/04/2016 00:32;0
02/04/2016 01:02;0
02/04/2016 01:32;0
02/04/2016 02:02;0
02/04/2016 02:32;0
02/04/2016 03:02;0
02/04/2016 03:32;0
02/04/2016 04:02;0
02/04/2016 04:32;0
02/04/2016 05:02;0
02/04/2016 05:32;0
02/04/2016 06:02;0
02/04/2016 06:32;0
02/04/2016 07:02;0
02/04/2016 07:32;0
02/04/2016 08:02;0
02/04/2016 08:32;0
02/04/2016 09:02;0
02/04/2016 09:32;0
02/04/2016 10:02;0
02/04/2016 10:32;0
02/04/2016 11:02;0
02/04/2016 11:32;0
02/04/2016 12:02;0
02/04/2016 12:32;0
02/04/2016 13:02;0
02/04/2016 13:32;0
02/04/2016 14:02;0
02/04/2016 14:32;0
02/04/2016 15:02;0
02/04/2016 15:32;0
02/04/2016 16:02;0
02/04/2016 16:32;0
02/04/2016 17:02;0
02/04/2016 17:32;0
02/04/2016 18:02;0
02/04/2016 18:32;0
02/04/2016 19:02;0
02/04/2016 19:32;0
02/04/2016 20:02;0
02/04/2016 20:32;0
02/04/2016 21:02;0
02/04/2016 21:32;0
02/04/2016 22:02;0
02/04/2016 22:32;0
02/04/2016 23:02;0
02/04/2016 23:32;0
03/04/2016 00:02;0
03/04/2016 00:32;0
03/04/2016 01:02;0
03/04/2016 01:32;0
03/04/2016 02:02;0
03/04/2016 02:32;0
03/04/2016 03:02;0
03/04/2016 03:32;0
03/04/2016 04:02;0
03/04/2016 04:32;0
03/04/2016 05:02;0
03/04/2016 05:32;0
03/04/2016 06:02;0
03/04/2016 06:32;0
03/04/2016 07:02;0
03/04/2016 07:32;0
03/04/2016 08:02;0
03/04/2016 08:32;0
03/04/2016 09:02;0
03/04/2016 09:32;0
03/04/2016 10:02;0
03/04/2016 10:32;0
03/04/2016 11:02;0
03/04/2016 11:32;0
03/04/2016 12:02;0
03/04/2016 12:32;0
03/04/2016 13:02;0
03/04/2016 13:32;0
03/04/2016 14:02;0
03/04/2016 14:32;0
03/04/2016 15:02;0
03/04/2016 15:32;0
03/04/2016 16:02;0
03/04/2016 16:32;0
03/04/2016 17:02;0
03/04/2016 17:32;0
03/04/2016 18:02;0
03/04/2016 18:32;0
03/04/2016 19:02;0
03/04/2016 19:32;0.2
03/04/2016 20:02;0
03/04/2016 20:32;0
03/04/2016 21:02;0.2
03/04/2016 21:32;0
03/04/2016 22:02;0
03/04/2016 22:32;0
03/04/2016 23:02;0
03/04/2016 23:32;0.4
04/04/2016 00:02;0
04/04/2016 00:32;0
04/04/2016 01:02;0
04/04/2016 01:32;0
04/04/2016 02:02;0
04/04/2016 02:32;0
04/04/2016 03:02;0
04/04/2016 03:32;0
04/04/2016 04:02;0
04/04/2016 04:32;0
04/04/2016 05:02;0.2
04/04/2016 05:32;0
04/04/2016 06:02;0
04/04/2016 06:32;0
04/04/2016 07:02;0.6
04/04/2016 07:32;0.2
04/04/2016 08:02;0.4
04/04/2016 08:32;0.6
04/04/2016 09:02;0
04/04/2016 09:32;0
04/04/2016 10:02;0
04/04/2016 10:32;0
04/04/2016 11:02;0.2
04/04/2016 11:32;0
04/04/2016 12:02;0
04/04/2016 12:32;0
04/04/2016 13:02;0
04/04/2016 13:32;0
04/04/2016 14:02;0
04/04/2016 14:32;0
04/04/2016 15:02;0
04/04/2016 15:32;0
04/04/2016 16:02;0
04/04/2016 16:32;0
04/04/2016 17:02;0
04/04/2016 17:32;0.2
04/04/2016 18:02;0
04/04/2016 18:32;0.2
04/04/2016 19:02;0
04/04/2016 19:32;0.2
04/04/2016 20:02;0
04/04/2016 20:32;0
04/04/2016 21:02;0
04/04/2016 21:32;0
04/04/2016 22:02;0
04/04/2016 22:32;0
04/04/2016 23:02;0
04/04/2016 23:32;0
05/04/2016 00:02;0
05/04/2016 00:32;0
05/04/2016 01:02;0
05/04/2016 01:32;0
05/04/2016 02:02;0
05/04/2016 02:32;0
05/04/2016 03:02;0.2
05/04/2016 03:32;2.2
05/04/2016 04:02;0.2
05/04/2016 04:32;0.4
05/04/2016 05:02;0.4
05/04/2016 05:32;0.2
05/04/2016 06:02;0.2
05/04/2016 06:32;0.2
05/04/2016 07:02;0
05/04/2016 07:32;0
05/04/2016 08:02;0
05/04/2016 08:32;0
05/04/2016 09:02;0
05/04/2016 09:32;0.4
05/04/2016 10:02;0.2
05/04/2016 10:32;0.2
05/04/2016 11:02;0.2
05/04/2016 11:32;0.4
05/04/2016 12:02;0
05/04/2016 12:32;0.2
05/04/2016 13:02;0
05/04/2016 13:32;0
05/04/2016 14:02;0
05/04/2016 14:32;0.2
05/04/2016 15:02;0
05/04/2016 15:32;0
05/04/2016 16:02;0
05/04/2016 16:32;2.6
05/04/2016 17:02;0.4
05/04/2016 17:32;0.4
05/04/2016 18:02;0
05/04/2016 18:32;0.4
05/04/2016 19:02;0.4
05/04/2016 19:32;0.2
05/04/2016 20:02;0
05/04/2016 20:32;0
05/04/2016 21:02;0
05/04/2016 21:32;0
05/04/2016 22:02;0
05/04/2016 22:32;0
05/04/2016 23:02;0
05/04/2016 23:32;0
06/04/2016 00:02;0
06/04/2016 00:32;0
06/04/2016 01:02;0
06/04/2016 01:32;0
06/04/2016 02:02;0
06/04/2016 02:32;0
06/04/2016 03:02;0.4
06/04/2016 03:32;0.6
06/04/2016 04:02;0
06/04/2016 04:32;0
06/04/2016 05:02;0
06/04/2016 05:32;0
06/04/2016 06:02;0
06/04/2016 06:32;0
06/04/2016 07:02;0
06/04/2016 07:32;0
06/04/2016 08:02;0
06/04/2016 08:32;0
06/04/2016 09:02;0
06/04/2016 09:32;0
06/04/2016 10:02;0
06/04/2016 10:32;0
06/04/2016 11:02;0
06/04/2016 11:32;0
06/04/2016 12:02;0
06/04/2016 12:32;0
06/04/2016 13:02;0
06/04/2016 13:32;0
06/04/2016 14:02;0
06/04/2016 14:32;0
06/04/2016 15:02;0
06/04/2016 15:32;0
06/04/2016 16:02;0
06/04/2016 16:32;0
06/04/2016 17:02;0
06/04/2016 17:32;0
06/04/2016 18:02;0
06/04/2016 18:32;0
06/04/2016 19:02;0
06/04/2016 19:32;0
06/04/2016 20:02;0
06/04/2016 20:32;0
06/04/2016 21:02;0
06/04/2016 21:32;0
06/04/2016 22:02;0
06/04/2016 22:32;0
06/04/2016 23:02;0
06/04/2016 23:32;0
07/04/2016 00:02;0
07/04/2016 00:32;0
07/04/2016 01:02;0
07/04/2016 01:32;0
07/04/2016 02:02;0
07/04/2016 02:32;0
07/04/2016 03:02;0
07/04/2016 03:32;0
07/04/2016 04:02;0.2
07/04/2016 04:32;0
07/04/2016 05:02;0
07/04/2016 05:32;0.2
07/04/2016 06:02;0
07/04/2016 06:32;0
07/04/2016 07:02;0
07/04/2016 07:32;0
07/04/2016 08:02;0
07/04/2016 08:32;0
07/04/2016 09:02;0
07/04/2016 09:32;0
07/04/2016 10:02;0
07/04/2016 10:32;0
07/04/2016 11:02;0.2
07/04/2016 11:32;0
07/04/2016 12:02;0
07/04/2016 12:32;0
07/04/2016 13:02;0.2
07/04/2016 13:32;0
07/04/2016 14:02;0
07/04/2016 14:32;0
07/04/2016 15:02;0
07/04/2016 15:32;0
07/04/2016 16:02;0
07/04/2016 16:32;0
07/04/2016 17:02;0
07/04/2016 17:32;0
07/04/2016 18:02;0
07/04/2016 18:32;0
07/04/2016 19:02;0
07/04/2016 19:32;0
07/04/2016 20:02;0
07/04/2016 20:32;0
07/04/2016 21:02;0
07/04/2016 21:32;0
07/04/2016 22:02;0
07/04/2016 22:32;0
07/04/2016 23:02;0
07/04/2016 23:32;0
08/04/2016 00:02;0
08/04/2016 00:32;0
08/04/2016 01:02;0
08/04/2016 01:32;0
08/04/2016 02:02;0
08/04/2016 02:32;0
08/04/2016 03:02;0
08/04/2016 03:32;0
08/04/2016 04:02;0
08/04/2016 04:32;0
08/04/2016 05:02;0
08/04/2016 05:32;0
08/04/2016 06:02;0
08/04/2016 06:32;0
08/04/2016 07:02;0
08/04/2016 07:32;0
08/04/2016 08:02;0
08/04/2016 08:32;0
08/04/2016 09:02;0
08/04/2016 09:32;0
08/04/2016 10:02;0
08/04/2016 10:32;0
08/04/2016 11:02;0
08/04/2016 11:32;0
08/04/2016 12:02;0
08/04/2016 12:32;0
08/04/2016 13:02;0
08/04/2016 13:32;0
08/04/2016 14:02;0
08/04/2016 14:32;0
08/04/2016 15:02;0
08/04/2016 15:32;0
08/04/2016 16:02;0
08/04/2016 16:32;0
08/04/2016 17:02;0
08/04/2016 17:32;0
08/04/2016 18:02;0
08/04/2016 18:32;0
08/04/2016 19:02;0
08/04/2016 19:32;0
08/04/2016 20:02;0
08/04/2016 20:32;0
08/04/2016 21:02;0
08/04/2016 21:32;0
08/04/2016 22:02;0
08/04/2016 22:32;0
08/04/2016 23:02;0
08/04/2016 23:32;0
09/04/2016 00:02;0
09/04/2016 00:32;0
09/04/2016 01:02;0
09/04/2016 01:32;0
09/04/2016 02:02;0
09/04/2016 02:32;0
09/04/2016 03:02;0
09/04/2016 03:32;0
09/04/2016 04:02;0
09/04/2016 04:32;0
09/04/2016 05:02;0
09/04/2016 05:32;0
09/04/2016 06:02;0
09/04/2016 06:32;0
09/04/2016 07:02;0
09/04/2016 07:32;0
09/04/2016 08:02;0
09/04/2016 08:32;0
09/04/2016 09:02;0
09/04/2016 09:32;0
09/04/2016 10:02;0
09/04/2016 10:32;0
09/04/2016 11:02;0
09/04/2016 11:32;0
09/04/2016 12:02;0
09/04/2016 12:32;0
09/04/2016 13:02;0
09/04/2016 13:32;0
09/04/2016 14:02;0
09/04/2016 14:32;0
09/04/2016 15:02;0
09/04/2016 15:32;0
09/04/2016 16:02;0
09/04/2016 16:32;0
09/04/2016 17:02;0
09/04/2016 17:32;0
09/04/2016 18:02;0
09/04/2016 18:32;0
09/04/2016 19:02;0
09/04/2016 19:32;0
09/04/2016 20:02;0
09/04/2016 20:32;0
09/04/2016 21:02;0
09/04/2016 21:32;0
09/04/2016 22:02;0
09/04/2016 22:32;0
09/04/2016 23:02;0
09/04/2016 23:32;0
10/04/2016 00:02;0
10/04/2016 00:32;0
10/04/2016 01:02;0
10/04/2016 01:32;0
10/04/2016 02:02;0
10/04/2016 02:32;0
10/04/2016 03:02;0
10/04/2016 03:32;0
10/04/2016 04:02;0
10/04/2016 04:32;0
10/04/2016 05:02;0
10/04/2016 05:32;0
10/04/2016 06:02;0
10/04/2016 06:32;0
10/04/2016 07:02;0
10/04/2016 07:32;0
10/04/2016 08:02;0
10/04/2016 08:32;0
10/04/2016 09:02;0
10/04/2016 09:32;0
10/04/2016 10:02;0
10/04/2016 10:32;0
10/04/2016 11:02;0
10/04/2016 11:32;0
10/04/2016 12:02;0
10/04/2016 12:32;0
10/04/2016 13:02;0
10/04/2016 13:32;0
10/04/2016 14:02;0
10/04/2016 14:32;0
10/04/2016 15:02;0
10/04/2016 15:32;0
10/04/2016 16:02;0
10/04/2016 16:32;0
10/04/2016 17:02;0
10/04/2016 17:32;0
10/04/2016 18:02;0
10/04/2016 18:32;0
10/04/2016 19:02;0
10/04/2016 19:32;0
10/04/2016 20:02;0
10/04/2016 20:32;0
10/04/2016 21:02;0
10/04/2016 21:32;0
10/04/2016 22:02;0
10/04/2016 22:32;0
10/04/2016 23:02;0
10/04/2016 23:32;0
11/04/2016 00:02;0
11/04/2016 00:32;0
11/04/2016 01:02;0
11/04/2016 01:32;0
11/04/2016 02:02;0
11/04/2016 02:32;0
11/04/2016 03:02;0
11/04/2016 03:32;0
11/04/2016 04:02;0
11/04/2016 04:32;0
11/04/2016 05:02;0
11/04/2016 05:32;0
11/04/2016 06:02;0
11/04/2016 06:32;0
11/04/2016 07:02;0
11/04/2016 07:32;0
11/04/2016 08:02;0
11/04/2016 08:32;0
11/04/2016 09:02;0
11/04/2016 09:32;0
11/04/2016 10:02;0
11/04/2016 10:32;0
11/04/2016 11:02;0
11/04/2016 11:32;0
11/04/2016 12:02;0
11/04/2016 12:32;0
11/04/2016 13:02;0
11/04/2016 13:32;0
11/04/2016 14:02;0
11/04/2016 14:32;0
11/04/2016 15:02;0
11/04/2016 15:32;0
11/04/2016 16:02;0
11/04/2016 16:32;0
11/04/2016 17:02;0
11/04/2016 17:32;0
11/04/2016 18:02;0
11/04/2016 18:32;0
11/04/2016 19:02;0
11/04/2016 19:32;0
11/04/2016 20:02;0
11/04/2016 20:32;0
11/04/2016 21:02;0
11/04/2016 21:32;0
11/04/2016 22:02;0
11/04/2016 22:32;0
11/04/2016 23:02;0
11/04/2016 23:32;0
12/04/2016 00:02;0
12/04/2016 00:32;0
12/04/2016 01:02;0.4
12/04/2016 01:32;0
12/04/2016 02:02;0
12/04/2016 02:32;0
12/04/2016 03:02;0
12/04/2016 03:32;0.2
12/04/2016 04:02;0.6
12/04/2016 04:32;0.4
12/04/2016 05:02;1
12/04/2016 05:32;0.2
12/04/2016 06:02;0.2
12/04/2016 06:32;0
12/04/2016 07:02;0
12/04/2016 07:32;0
12/04/2016 08:02;0
12/04/2016 08:32;0
12/04/2016 09:02;0
12/04/2016 09:32;0
12/04/2016 10:02;0
12/04/2016 10:32;0
12/04/2016 11:02;0
12/04/2016 11:32;0
12/04/2016 12:02;0
12/04/2016 12:32;0
12/04/2016 13:02;0
12/04/2016 13:32;0
12/04/2016 14:02;0
12/04/2016 14:32;0
12/04/2016 15:02;0
12/04/2016 15:32;0
12/04/2016 16:02;0
12/04/2016 16:32;0
12/04/2016 17:02;0
12/04/2016 17:32;0
12/04/2016 18:02;0
12/04/2016 18:32;0
12/04/2016 19:02;0
12/04/2016 19:32;0
12/04/2016 20:02;0
12/04/2016 20:32;0
12/04/2016 21:02;0
12/04/2016 21:32;0
12/04/2016 22:02;0
12/04/2016 22:32;0
12/04/2016 23:02;0
12/04/2016 23:32;0
13/04/2016 00:02;0
13/04/2016 00:32;0
13/04/2016 01:02;0
13/04/2016 01:32;0
13/04/2016 02:02;0
13/04/2016 02:32;0
13/04/2016 03:02;0
13/04/2016 03:32;0
13/04/2016 04:02;0
13/04/2016 04:32;0
13/04/2016 05:02;0
13/04/2016 05:32;0
13/04/2016 06:02;0
13/04/2016 06:32;0
13/04/2016 07:02;0
13/04/2016 07:32;0
13/04/2016 08:02;0
13/04/2016 08:32;0
13/04/2016 09:02;0
13/04/2016 09:32;0
13/04/2016 10:02;0
13/04/2016 10:32;0
13/04/2016 11:02;0
13/04/2016 11:32;0
13/04/2016 12:02;0
13/04/2016 12:32;0
13/04/2016 13:02;0
13/04/2016 13:32;0
13/04/2016 14:02;0
13/04/2016 14:32;0
13/04/2016 15:02;0
13/04/2016 15:32;0
13/04/2016 16:02;0
13/04/2016 16:32;0
13/04/2016 17:02;0
13/04/2016 17:32;0
13/04/2016 18:02;0
13/04/2016 18:32;0
13/04/2016 19:02;0
13/04/2016 19:32;0
13/04/2016 20:02;0
13/04/2016 20:32;0
13/04/2016 21:02;0
13/04/2016 21:32;0
13/04/2016 22:02;0
13/04/2016 22:32;0
13/04/2016 23:02;0
13/04/2016 23:32;0
14/04/2016 00:02;0
14/04/2016 00:32;0
14/04/2016 01:02;0
14/04/2016 01:32;0
14/04/2016 02:02;0
14/04/2016 02:32;0
14/04/2016 03:02;0
14/04/2016 03:32;0
14/04/2016 04:02;0
14/04/2016 04:32;0
14/04/2016 05:02;0
14/04/2016 05:32;0
14/04/2016 06:02;0
14/04/2016 06:32;0
14/04/2016 07:02;0
14/04/2016 07:32;0
14/04/2016 08:02;0
14/04/2016 08:32;0
14/04/2016 09:02;0
14/04/2016 09:32;0
14/04/2016 10:02;0
14/04/2016 10:32;0
