Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_N_10-4_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.7,69.2,31.8,0.000,1295,1532,1761,1.0,1.0,0.9,37.746,37.155,0.440,0.152,131618,37155,43955,50508,0.0119331,1.1830391,0.108,-4.317, - ,0.0040197,1.3594110,0.038,0.027, - ,0.0111284,-4.629,1.100596,0.0020053,0.038,0.200126,0.0004023,0.019
AW_N_10-4_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.2,129.0,32.0,0.000,1279,1513,1738,1.3,1.4,1.3,37.398,36.812,0.435,0.150,130402,36812,43547,50043,0.0119323,1.1829544,0.036,-4.389, - ,0.0040197,1.3594099,0.037,0.026, - ,0.0111276,-4.706,1.100513,0.0020053,0.037,0.200126,0.0004023,0.019
AW_N_10-4_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.7,32.0,0.000,1281,1516,1743,1.4,1.6,1.5,37.521,36.934,0.437,0.151,130829,36934,43689,50206,0.0119318,1.1829116,0.000,-4.425, - ,0.0040195,1.3593597,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_N_10-4_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,244.7,248.3,31.8,0.000,1284,1519,1746,1.5,1.6,1.5,37.598,37.009,0.438,0.151,131099,37009,43779,50311,0.0119320,1.1829325,0.018,-4.407, - ,0.0040197,1.3594300,0.052,0.041, - ,0.0111274,-4.726,1.100491,0.0020053,0.052,0.200129,0.0004023,0.027
AW_N_10-4_-0000.dxf,8+,S-Metolachlor,5,CO2 Lhyges,2234.6,2240.9,2248.4,13.8, - ,231,265,306,118.1,136.4,156.2,1.737,1.685,0.019,0.007,5857,1685,1940,2232,0.0116134,1.1513412,-26.689,-30.995,0.635,0.0039158,1.3242721,-25.812,-25.822,0.472,0.0108195,-32.263,1.070369,0.0019535,-25.779,0.194970,0.0003969,-13.386
AW_N_10-4_-0000.dxf,9+,S-Metolachlor,8,CO2 Lhyges,2234.6,2240.9,2248.4,13.8, - ,258,296,341,363.7,418.3,481.8,2.117,2.054,0.024,0.008,7138,2054,2364,2721,0.0116110,1.1511060,-26.888,-31.193,-0.204,0.0039175,1.3248721,-25.370,-25.381,0.453,0.0108169,-32.491,1.070119,0.0019544,-25.336,0.195058,0.0003970,-13.155
AW_N_10-4_-0000.dxf,11+,S-Metolachlor,8,CO2 Lhyges,2234.6,2240.9,2248.4,13.8, - ,251,288,332,218.2,249.0,288.3,2.020,1.959,0.023,0.008,6813,1959,2255,2599,0.0116095,1.1509573,-27.013,-31.318,-0.333,0.0039223,1.3264834,-24.185,-24.195,1.670,0.0108149,-32.670,1.069923,0.0019568,-24.149,0.195295,0.0003973,-12.535
AW_N_10-4_-0000.dxf,12+,S-Metolachlor,11,CO2 Lhyges,2234.6,2240.9,2248.4,13.8, - ,242,278,320,505.4,581.2,671.8,1.893,1.836,0.021,0.007,6381,1836,2114,2432,0.0116148,1.1514858,-26.566,-30.873,0.459,0.0039174,1.3248194,-25.409,-25.420,-1.254,0.0108208,-32.147,1.070495,0.0019543,-25.376,0.195050,0.0003970,-13.175
AW_N_10-4_-0000.dxf,6, - , - ,CO2 Lhyges,2764.2,2777.8,2796.0,31.8,0.000,1285,1520,1746,1.0,1.0,0.8,37.483,36.896,0.437,0.150,130708,36896,43653,50159,0.0119339,1.1831203,0.176,-4.249, - ,0.0040198,1.3594562,0.071,0.060, - ,0.0111292,-4.557,1.100675,0.0020053,0.071,0.200133,0.0004023,0.036
AW_N_10-4_-0000.dxf,7, - , - ,CO2 Lhyges,2823.8,2853.3,2855.8,32.0,0.000,1287,1523,1750,1.3,1.4,1.3,37.622,37.033,0.438,0.151,131182,37033,43808,50341,0.0119321,1.1829355,0.020,-4.404, - ,0.0040195,1.3593613,0.001,-0.009, - ,0.0111274,-4.721,1.100496,0.0020052,0.001,0.200119,0.0004023,0.001
