Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_S_8-1_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,65.8,69.2,31.8,0.000,1238,1466,1685,1.0,1.0,0.9,36.165,35.598,0.421,0.145,126181,35598,42137,48446,0.0119337,1.1836843,0.160,-4.265, - ,0.0040200,1.3609081,0.125,0.114, - ,0.0111290,-4.577,1.100653,0.0020055,0.125,0.200144,0.0004024,0.064
AW_S_8-1_-0000.dxf,2, - , - ,CO2 Lhyges,97.2,126.4,129.0,31.8,0.000,1234,1460,1679,1.3,1.4,1.4,36.078,35.513,0.420,0.145,125867,35513,42031,48323,0.0119321,1.1835222,0.023,-4.402, - ,0.0040194,1.3607044,-0.025,-0.035, - ,0.0111275,-4.718,1.100500,0.0020052,-0.025,0.200114,0.0004023,-0.013
AW_S_8-1_-0000.dxf,3*, - , - ,CO2 Lhyges,157.0,185.2,188.7,31.8,0.000,1236,1463,1682,1.4,1.5,1.4,36.168,35.601,0.421,0.145,126178,35601,42133,48443,0.0119318,1.1834952,0.000,-4.425, - ,0.0040195,1.3607381,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_S_8-1_-0000.dxf,4, - , - ,CO2 Lhyges,216.7,245.8,248.5,31.8,0.000,1235,1462,1680,1.4,1.5,1.4,36.069,35.504,0.420,0.145,125836,35504,42018,48313,0.0119318,1.1834945,-0.001,-4.425, - ,0.0040197,1.3607955,0.042,0.032, - ,0.0111271,-4.745,1.100470,0.0020053,0.042,0.200127,0.0004023,0.022
AW_S_8-1_-0000.dxf,8+,S-Metolachlor,5,CO2 Lhyges,2248.8,2254.1,2261.4,12.5, - ,244,282,325,1.0,1.0,0.8,2.556,2.479,0.029,0.010,8657,2479,2869,3309,0.0116681,1.1573360,-22.103,-26.430,-0.018,0.0039436,1.3350364,-18.888,-18.898,0.282,0.0108713,-27.629,1.075439,0.0019674,-18.858,0.196352,0.0003984,-9.775
AW_S_8-1_-0000.dxf,9+,S-Metolachlor,8,CO2 Lhyges,2248.8,2254.1,2261.4,12.5, - ,115,134,154,-865.7,-1009.3,-1174.0,0.889,0.863,0.010,0.003,3019,863,999,1157,0.0116747,1.1579938,-21.547,-25.877,0.568,0.0039634,1.3417480,-13.956,-13.966,5.027,0.0108759,-27.220,1.075886,0.0019773,-13.921,0.197338,0.0003994,-7.207
AW_S_8-1_-0000.dxf,11+,S-Metolachlor,10,CO2 Lhyges,2248.8,2254.1,2261.4,12.5, - ,111,128,148,-409.3,-473.2,-552.0,0.832,0.807,0.009,0.003,2822,807,935,1080,0.0116798,1.1584980,-21.121,-25.453,1.616,0.0039550,1.3388987,-16.050,-16.060,2.309,0.0108818,-26.687,1.076469,0.0019731,-16.018,0.196920,0.0003990,-8.298
AW_S_8-1_-0000.dxf,5,S-Metolachlor, - ,CO2 Lhyges,2209.3,2254.1,2289.8,80.5,0.000,244,282,325,1.0,1.0,0.8,11.701,11.521,0.133,0.046,40232,11521,13334,15377,0.0116683,1.1573566,-22.086,-26.413, - ,0.0039425,1.3346594,-19.165,-19.176, - ,0.0108716,-27.600,1.075471,0.0019668,-19.135,0.196297,0.0003983,-9.920
AW_S_8-1_-0000.dxf,6, - , - ,CO2 Lhyges,2764.0,2778.2,2795.8,31.8,0.000,1235,1462,1681,1.0,1.0,0.9,36.013,35.448,0.420,0.145,125652,35448,41962,48242,0.0119344,1.1837515,0.217,-4.209, - ,0.0040200,1.3609155,0.130,0.120, - ,0.0111297,-4.517,1.100720,0.0020055,0.130,0.200145,0.0004024,0.067
AW_S_8-1_-0000.dxf,7, - , - ,CO2 Lhyges,2823.8,2853.3,2855.6,31.8,0.000,1237,1463,1682,1.3,1.4,1.3,36.130,35.564,0.421,0.145,126047,35564,42092,48391,0.0119325,1.1835618,0.056,-4.368, - ,0.0040194,1.3606849,-0.039,-0.050, - ,0.0111279,-4.681,1.100539,0.0020051,-0.039,0.200111,0.0004023,-0.020
