Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_T_5-1_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,60.8,69.2,31.8,0.000,1284,1519,1746,1.1,1.1,1.0,37.522,36.934,0.437,0.151,130868,36934,43702,50231,0.0119330,1.1832502,0.095,-4.330, - ,0.0040196,1.3600068,0.015,0.005, - ,0.0111283,-4.643,1.100582,0.0020052,0.015,0.200122,0.0004023,0.008
AW_T_5-1_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.7,129.0,32.0,0.000,1272,1505,1729,1.4,1.5,1.5,37.206,36.623,0.433,0.149,129762,36623,43332,49808,0.0119321,1.1831678,0.025,-4.400, - ,0.0040195,1.3599952,0.007,-0.004, - ,0.0111275,-4.717,1.100501,0.0020052,0.007,0.200120,0.0004023,0.003
AW_T_5-1_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,180.2,188.7,32.0,0.000,1272,1505,1730,1.5,1.6,1.6,37.289,36.705,0.434,0.150,130052,36705,43428,49919,0.0119318,1.1831384,0.000,-4.425, - ,0.0040195,1.3599860,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_T_5-1_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.3,31.8,0.000,1271,1504,1729,1.5,1.7,1.6,37.182,36.600,0.433,0.149,129680,36600,43303,49778,0.0119319,1.1831482,0.008,-4.416, - ,0.0040197,1.3600537,0.050,0.039, - ,0.0111273,-4.736,1.100480,0.0020053,0.050,0.200129,0.0004023,0.026
AW_T_5-1_-0000.dxf,9+,S-Metolachlor,8,CO2 Lhyges,2234.6,2240.7,2248.2,13.6, - ,236,272,313,470.7,544.0,614.2,1.981,1.922,0.022,0.008,6685,1922,2214,2550,0.0116152,1.1517448,-26.534,-30.841,-1.419,0.0039214,1.3267998,-24.402,-24.412,-0.053,0.0108207,-32.151,1.070491,0.0019563,-24.367,0.195252,0.0003972,-12.649
AW_T_5-1_-0000.dxf,10+,S-Metolachlor,9,CO2 Lhyges,2234.6,2240.7,2248.2,13.6, - ,233,268,309,324.6,368.1,425.8,1.942,1.883,0.022,0.007,6550,1883,2168,2499,0.0116107,1.1512953,-26.914,-31.219,-0.390,0.0039218,1.3269095,-24.321,-24.332,0.083,0.0108162,-32.559,1.070044,0.0019565,-24.286,0.195268,0.0003973,-12.606
AW_T_5-1_-0000.dxf,12+,S-Metolachlor,8,CO2 Lhyges,2234.6,2240.7,2248.2,13.6, - ,234,269,310,352.3,404.7,466.4,1.949,1.891,0.022,0.008,6579,1891,2179,2509,0.0116207,1.1522867,-26.076,-30.385,-0.950,0.0039225,1.3271465,-24.147,-24.157,0.208,0.0108261,-31.671,1.071016,0.0019568,-24.113,0.195303,0.0003973,-12.516
AW_T_5-1_-0000.dxf,13+,S-Metolachlor,9,CO2 Lhyges,2234.6,2240.7,2248.2,13.6, - ,236,272,313,464.5,534.2,608.8,1.984,1.925,0.022,0.008,6695,1925,2218,2552,0.0116212,1.1523362,-26.034,-30.344,0.513,0.0039195,1.3261426,-24.885,-24.895,-0.495,0.0108269,-31.599,1.071095,0.0019554,-24.852,0.195155,0.0003971,-12.902
AW_T_5-1_-0000.dxf,6, - , - ,CO2 Lhyges,2763.8,2793.3,2795.6,31.8,0.000,1272,1505,1730,1.0,1.0,0.8,37.018,36.438,0.431,0.149,129120,36438,43120,49562,0.0119342,1.1833758,0.201,-4.225, - ,0.0040200,1.3601519,0.122,0.111, - ,0.0111295,-4.533,1.100701,0.0020054,0.122,0.200143,0.0004024,0.063
AW_T_5-1_-0000.dxf,7, - , - ,CO2 Lhyges,2823.6,2853.1,2855.4,31.8,0.000,1275,1508,1733,1.3,1.5,1.4,37.288,36.704,0.434,0.150,130053,36704,43429,49920,0.0119326,1.1832122,0.062,-4.362, - ,0.0040197,1.3600650,0.058,0.047, - ,0.0111279,-4.679,1.100543,0.0020053,0.058,0.200130,0.0004023,0.030
