Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_N_1-3_-0000.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.4,32.2,0.000,1455,1710,1957,4.2,-0.6,0.7,42.371,41.713,0.490,0.168,146836,41713,49017,56106,0.0119458,1.1751146,0.193,-3.259, - ,0.0040196,1.3450562,0.027,0.019, - ,0.0111411,-3.495,1.101837,0.0020053,0.027,0.200124,0.0004023,0.014
AW_N_1-3_-0000.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.2,32.2,0.000,1447,1699,1945,4.9,0.2,1.7,42.301,41.643,0.489,0.168,146584,41643,48930,56010,0.0119444,1.1749769,0.076,-3.376, - ,0.0040195,1.3450005,-0.014,-0.022, - ,0.0111397,-3.619,1.101702,0.0020052,-0.014,0.200116,0.0004023,-0.007
AW_N_1-3_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.9,32.2,0.000,1448,1701,1947,5.1,0.4,1.9,42.330,41.672,0.490,0.168,146682,41672,48960,56050,0.0119435,1.1748880,0.000,-3.452, - ,0.0040195,1.3450193,0.000,-0.008, - ,0.0111388,-3.700,1.101613,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_N_1-3_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.7,32.2,0.000,1448,1702,1948,5.2,0.5,2.1,42.297,41.640,0.489,0.168,146568,41640,48923,56005,0.0119436,1.1749039,0.014,-3.438, - ,0.0040194,1.3449942,-0.019,-0.027, - ,0.0111390,-3.685,1.101629,0.0020052,-0.019,0.200115,0.0004023,-0.010
AW_N_1-3_-0000.dxf,5, - , - ,CO2 Lhyges,1749.5,1854.5,1929.7,180.2,0.000,66,76,90,132.2,146.2,169.2,7.823,7.702,0.089,0.032,27200,7702,8865,10632,0.0117000,1.1509334,-20.389,-23.770, - ,0.0041253,1.3804041,26.308,26.299, - ,0.0108844,-26.455,1.076724,0.0020581,26.388,0.205389,0.0004078,13.530
AW_N_1-3_-0000.dxf,6, - , - ,CO2 Lhyges,1979.0,1990.7,1998.5,19.4,0.000,54,62,72,173.5,193.8,226.8,0.475,0.468,0.005,0.002,1628,468,536,624,0.0116356,1.1445974,-25.782,-29.144, - ,0.0039824,1.3326069,-9.228,-9.237, - ,0.0108347,-30.900,1.071860,0.0019868,-9.178,0.198286,0.0004004,-4.746
AW_N_1-3_-0000.dxf,7, - , - ,CO2 Lhyges,2001.4,2013.3,2020.4,19.0,0.000,40,46,53,174.8,195.3,228.5,0.360,0.354,0.004,0.001,1233,354,406,473,0.0116621,1.1472093,-23.559,-26.929, - ,0.0039874,1.3342582,-8.001,-8.009, - ,0.0108608,-28.571,1.074408,0.0019893,-7.954,0.198530,0.0004007,-4.112
AW_N_1-3_-0000.dxf,8, - , - ,CO2 Lhyges,2025.0,2040.9,2048.8,23.8,0.000,79,90,105,168.9,188.6,220.7,0.864,0.850,0.010,0.003,2961,850,975,1135,0.0116577,1.1467728,-23.930,-27.299, - ,0.0039888,1.3347545,-7.632,-7.640, - ,0.0108562,-28.982,1.073959,0.0019900,-7.584,0.198604,0.0004007,-3.920
AW_N_1-3_-0000.dxf,9, - , - ,CO2 Lhyges,2050.7,2063.7,2071.6,20.9,0.000,51,59,68,164.7,183.8,215.1,0.460,0.453,0.005,0.002,1575,453,519,604,0.0116641,1.1474022,-23.394,-26.765, - ,0.0039856,1.3336607,-8.445,-8.453, - ,0.0108629,-28.379,1.074618,0.0019884,-8.399,0.198441,0.0004006,-4.343
AW_N_1-3_-0000.dxf,10, - , - ,CO2 Lhyges,2083.1,2097.5,2104.6,21.5,0.000,39,44,51,150.7,167.7,196.5,0.413,0.407,0.005,0.002,1418,407,468,543,0.0116874,1.1496954,-21.443,-24.820, - ,0.0039854,1.3336150,-8.479,-8.487, - ,0.0108862,-26.292,1.076901,0.0019883,-8.438,0.198434,0.0004006,-4.363
