Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AW_S_2-2_-0001.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.4,32.2,0.000,1436,1687,1932,4.3,-0.6,1.1,41.797,41.147,0.484,0.166,144854,41147,48354,55354,0.0119447,1.1751471,0.099,-3.353, - ,0.0040196,1.3452690,0.019,0.010, - ,0.0111400,-3.595,1.101728,0.0020052,0.018,0.200122,0.0004023,0.009
AW_S_2-2_-0001.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.2,32.2,0.000,1424,1673,1916,4.9,0.2,2.0,41.632,40.985,0.482,0.165,144276,40985,48156,55135,0.0119429,1.1749773,-0.045,-3.497, - ,0.0040196,1.3452604,0.012,0.004, - ,0.0111383,-3.749,1.101559,0.0020052,0.012,0.200121,0.0004023,0.006
AW_S_2-2_-0001.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.9,32.2,0.000,1427,1676,1920,5.1,0.4,2.3,41.736,41.088,0.483,0.166,144640,41088,48279,55273,0.0119435,1.1750307,0.000,-3.452, - ,0.0040195,1.3452440,0.000,-0.008, - ,0.0111388,-3.700,1.101613,0.0020052,-0.000,0.200119,0.0004023,-0.000
AW_S_2-2_-0001.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.5,32.0,0.000,1427,1676,1919,5.2,0.5,2.3,41.702,41.054,0.482,0.166,144514,41054,48235,55225,0.0119424,1.1749274,-0.088,-3.539, - ,0.0040193,1.3451852,-0.044,-0.052, - ,0.0111378,-3.792,1.101512,0.0020051,-0.044,0.200110,0.0004023,-0.022
AW_S_2-2_-0001.dxf,5, - , - ,CO2 Lhyges,1737.2,1857.4,1917.4,180.2,0.000,221,253,296,4.2,-0.7,0.6,33.026,32.523,0.373,0.130,113255,32523,37289,43443,0.0116539,1.1465403,-24.247,-27.614, - ,0.0039912,1.3357590,-7.051,-7.059, - ,0.0108522,-29.341,1.073565,0.0019912,-7.001,0.198720,0.0004009,-3.619
AW_S_2-2_-0001.dxf,6, - , - ,CO2 Lhyges,2024.4,2040.7,2047.6,23.2,0.000,51,58,68,173.8,194.1,227.8,0.574,0.565,0.006,0.002,1969,565,649,755,0.0116773,1.1488448,-22.285,-25.660, - ,0.0039941,1.3367247,-6.333,-6.341, - ,0.0108753,-27.273,1.075828,0.0019926,-6.287,0.198863,0.0004010,-3.249
AW_S_2-2_-0001.dxf,7, - , - ,CO2 Lhyges,2471.2,2477.3,2484.2,13.0,0.000,74,85,99,146.7,163.4,191.8,0.480,0.473,0.005,0.002,1649,473,542,634,0.0116432,1.1454843,-25.145,-28.510, - ,0.0040057,1.3406053,-3.448,-3.456, - ,0.0108399,-30.436,1.072368,0.0019984,-3.392,0.199441,0.0004016,-1.752
AW_S_2-2_-0001.dxf,8, - , - ,CO2 Lhyges,2562.8,2569.2,2582.8,20.1,0.000,67,77,89,134.6,149.5,175.8,0.604,0.595,0.007,0.002,2072,595,683,793,0.0116703,1.1481555,-22.872,-26.245, - ,0.0039834,1.3331672,-8.977,-8.986, - ,0.0108694,-27.801,1.075251,0.0019873,-8.933,0.198335,0.0004005,-4.620
AW_S_2-2_-0001.dxf,9,S-Metolachlor, - ,CO2 Lhyges,2637.4,2648.4,2660.6,23.2,0.000,538,616,719,122.8,135.9,159.8,4.603,4.533,0.052,0.018,15782,4533,5192,6058,0.0116422,1.1453892,-25.226,-28.591, - ,0.0039938,1.3366387,-6.397,-6.405, - ,0.0108402,-30.412,1.072393,0.0019925,-6.344,0.198852,0.0004010,-3.279
AW_S_2-2_-0001.dxf,15+,S-Metolachlor,9,CO2 Lhyges,2637.0,2648.4,2671.0,34.1, - ,538,616,719,122.8,135.9,159.8,4.916,4.769,0.055,0.019,16611,4769,5463,6378,0.0116450,1.1456678,-24.989,-28.354,0.243,0.0039965,1.3375390,-5.728,-5.736,0.674,0.0108427,-30.184,1.072643,0.0019938,-5.675,0.198985,0.0004011,-2.932
