Date,Time,Analysis,Row,Identifier 1,FileHeader: Filename,Peak Nr.,Is Ref.?,Start,Rt,End,Width,Area All,Ampl. 44,BGD 44,R 13C/12C,d 13C/12C,d 18O/16O,Component
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.733,1431,4.3,0.0111408,-3.522,0.009,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.537,1421,5.0,0.0111392,-3.669,-0.006,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,3,1,156.8,185.8,188.9,32.2,41.638,1425,5.1,0.0111388,-3.700,-0.000,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,4,0,216.5,246.0,248.7,32.2,41.637,1425,5.2,0.0111388,-3.705,-0.048,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,5,0,1737.2,1857.6,1917.4,180.2,29.344,178,4.2,0.0108474,-29.770,-8.644,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,6,0,2637.8,2648.2,2660.2,22.4,2.926,338,112.3,0.0108382,-30.591,-6.955,S-Metolachlor
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,7,0,3155.3,3161.1,3169.3,14.0,0.538,91,135.8,0.0107858,-35.278,-3.171,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,8,0,3401.3,3409.2,3418.0,16.7,0.940,135,127.3,0.0108640,-28.282,-6.427,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,9,0,3555.5,3667.7,3671.1,115.6,15.412,288,223.2,0.0108658,-28.119,-7.537,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,10,0,3699.9,3728.8,3731.9,32.0,41.852,1436,5.1,0.0111384,-3.739,-0.007,
05/21/16,14:03:41,12212,108,AW_N_3-1,AW_N_3-1_-0001.dxf,11,0,3759.5,3789.0,3791.7,32.2,41.987,1436,5.2,0.0111380,-3.775,-0.023,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,1,0,37.2,66.5,69.4,32.2,41.651,1429,4.3,0.0111405,-3.553,0.049,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.463,1419,5.0,0.0111392,-3.670,0.014,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.581,1423,5.1,0.0111388,-3.700,-0.000,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,4,0,216.5,246.0,248.7,32.2,41.596,1423,5.2,0.0111386,-3.719,0.022,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,5,0,1737.2,1854.0,1917.4,180.2,28.999,175,4.2,0.0108582,-28.801,-9.707,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,6,0,2637.4,2647.8,2659.5,22.2,3.017,353,110.8,0.0108471,-29.793,-7.306,S-Metolachlor
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,7,0,3154.9,3160.5,3168.6,13.8,0.550,94,137.1,0.0108069,-33.389,-2.194,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,8,0,3400.6,3408.6,3418.0,17.3,0.999,141,126.7,0.0108798,-26.869,-5.194,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,9,0,3488.0,3667.5,3668.2,180.2,28.339,369,133.3,0.0108554,-29.050,-5.561,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,10,0,3699.9,3729.4,3731.9,32.0,41.850,1434,5.1,0.0111382,-3.756,0.069,
05/21/16,15:14:30,12213,109,AW_N_3-2,AW_N_3-2_-0001.dxf,11,0,3759.5,3789.0,3791.7,32.2,41.932,1434,5.2,0.0111379,-3.780,-0.000,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,1,0,37.2,65.6,69.4,32.2,41.636,1428,4.3,0.0111405,-3.548,0.102,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.455,1420,5.0,0.0111388,-3.702,0.042,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,3,1,156.8,186.0,188.9,32.2,41.580,1421,5.1,0.0111388,-3.700,-0.000,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,4,0,216.5,246.0,248.7,32.2,41.573,1422,5.2,0.0111383,-3.748,-0.052,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,5,0,1737.2,1856.3,1917.4,180.2,29.180,176,4.2,0.0108661,-28.097,-11.368,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,6,0,2637.4,2648.0,2659.5,22.2,3.031,354,111.8,0.0108431,-30.155,-7.713,S-Metolachlor
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,7,0,3154.9,3160.7,3168.6,13.8,0.559,95,136.3,0.0107986,-34.132,-2.228,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,8,0,3400.6,3408.6,3418.0,17.3,0.991,140,126.4,0.0108630,-28.375,-7.746,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,9,0,3555.1,3667.7,3671.3,116.2,15.712,282,217.8,0.0108697,-27.769,-7.146,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,10,0,3699.9,3729.2,3731.9,32.0,41.767,1431,5.1,0.0111389,-3.698,0.096,
05/21/16,16:25:15,12214,110,AW_N_3-3,AW_N_3-3_-0001.dxf,11,0,3759.5,3789.0,3791.7,32.2,41.889,1432,5.2,0.0111385,-3.730,0.064,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,1,0,37.4,66.7,69.4,32.0,41.573,1427,4.3,0.0111403,-3.570,0.013,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.417,1416,5.0,0.0111390,-3.682,-0.044,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,3,1,156.8,186.0,188.9,32.2,41.503,1421,5.1,0.0111388,-3.700,-0.000,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,4,0,216.5,246.0,248.7,32.2,41.524,1420,5.2,0.0111383,-3.744,-0.015,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,5,0,1737.2,1856.8,1917.4,180.2,31.163,213,4.2,0.0108557,-29.027,-10.515,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,6,0,1979.0,1989.1,1997.4,18.4,0.434,54,171.2,0.0108462,-29.878,-6.905,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,7,0,2024.0,2039.6,2046.9,23.0,0.583,53,161.9,0.0108600,-28.637,-5.953,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,8,0,2470.2,2476.4,2483.3,13.2,0.554,86,139.3,0.0108213,-32.099,-8.947,
05/21/16,17:36:06,12215,111,AW_T_3-1,AW_T_3-1_-0001.dxf,9,0,2637.0,2647.8,2659.7,22.8,5.562,657,112.1,0.0108455,-29.936,-7.663,S-Metolachlor
