Date,Time,Analysis,Row,Identifier 1,FileHeader: Filename,Peak Nr.,Is Ref.?,Start,Rt,End,Width,Area All,Ampl. 44,BGD 44,R 13C/12C,d 13C/12C,d 18O/16O,Component
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.736,1432,4.2,0.0111412,-3.485,0.071,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,2,0,97.0,124.6,129.2,32.2,41.553,1421,4.9,0.0111399,-3.602,0.055,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.606,1423,5.1,0.0111388,-3.700,-0.000,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,4,0,216.5,245.8,248.7,32.2,41.654,1425,5.2,0.0111386,-3.720,-0.004,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,5,0,1737.4,1859.1,1917.6,180.2,28.775,187,4.1,0.0108536,-29.209,-9.454,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,6,0,2638.8,2649.5,2661.4,22.6,4.567,536,89.5,0.0108429,-30.167,-7.537,S-Metolachlor
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,7,0,3402.3,3409.4,3417.1,14.8,0.492,70,80.3,0.0108780,-27.031,-6.997,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,8,0,3592.9,3609.2,3615.3,22.4,0.853,95,156.7,0.0109244,-22.878,1.274,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,9,0,3699.7,3729.2,3731.7,32.0,41.891,1436,4.9,0.0111395,-3.637,-0.191,
05/21/16,03:15:44,12203,99,AW_N_2-1,AW_N_2-1_-0001.dxf,10,0,3759.3,3788.8,3791.5,32.2,42.002,1438,5.1,0.0111392,-3.670,-0.174,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.668,1430,4.2,0.0111407,-3.530,0.073,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.482,1420,4.9,0.0111390,-3.687,0.019,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.538,1422,5.1,0.0111388,-3.700,-0.000,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,4,0,216.3,245.8,248.7,32.4,41.638,1425,5.2,0.0111386,-3.722,0.046,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,5,0,1737.2,1857.6,1917.4,180.2,30.841,200,4.1,0.0108592,-28.710,-10.169,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,6,0,2637.6,2648.4,2660.6,23.0,4.343,510,101.5,0.0108416,-30.289,-7.226,S-Metolachlor
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,7,0,3401.5,3408.8,3416.1,14.6,0.485,70,96.6,0.0108714,-27.621,-8.120,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,8,0,3583.7,3608.8,3616.1,32.4,1.467,125,187.0,0.0108006,-33.954,-15.100,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,9,0,3699.7,3729.2,3731.9,32.2,41.959,1439,5.0,0.0111382,-3.755,0.153,
05/21/16,04:26:29,12204,100,AW_N_2-2,AW_N_2-2_-0001.dxf,10,0,3759.5,3788.5,3791.7,32.2,42.001,1437,5.2,0.0111376,-3.814,0.183,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.664,1431,4.3,0.0111408,-3.521,0.032,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,2,0,97.0,126.2,129.2,32.2,41.531,1421,5.0,0.0111390,-3.682,0.033,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.627,1425,5.1,0.0111388,-3.700,-0.000,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,4,0,216.5,245.8,248.7,32.2,41.641,1425,5.2,0.0111389,-3.691,-0.017,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,5,0,1737.4,1857.4,1917.6,180.2,31.169,202,4.2,0.0108576,-28.851,-10.258,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,6,0,2637.8,2648.4,2660.8,23.0,4.476,530,105.3,0.0108439,-30.079,-8.085,S-Metolachlor
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,7,0,3401.7,3408.8,3416.3,14.6,0.496,71,103.3,0.0108774,-27.080,-2.717,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,8,0,3583.7,3667.5,3671.1,87.4,7.691,176,207.2,0.0108602,-28.622,-9.461,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,9,0,3699.7,3729.2,3731.9,32.2,41.980,1439,5.0,0.0111381,-3.764,0.149,
05/21/16,05:37:13,12205,101,AW_N_2-3,AW_N_2-3_-0001.dxf,10,0,3759.5,3788.1,3791.7,32.2,42.087,1438,5.2,0.0111379,-3.786,0.130,
