Date,Time,Analysis,Row,Identifier 1,FileHeader: Filename,Peak Nr.,Is Ref.?,Start,Rt,End,Width,Area All,Ampl. 44,BGD 44,R 13C/12C,d 13C/12C,d 18O/16O,Component
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,1,0,37.2,66.5,69.4,32.2,41.816,1439,4.2,0.0111419,-3.427,0.122,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.602,1425,4.9,0.0111399,-3.603,0.016,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.680,1427,5.1,0.0111388,-3.700,-0.000,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,4,0,216.5,245.8,248.7,32.2,41.697,1428,5.2,0.0111384,-3.738,-0.023,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,5,0,1737.2,1858.0,1917.4,180.2,30.937,197,4.2,0.0108456,-29.927,-2.624,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,6,0,2638.2,2648.9,2661.0,22.8,4.116,462,112.6,0.0108348,-30.896,-5.475,S-Metolachlor
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,7,0,2890.1,2905.7,2913.7,23.6,1.060,76,108.9,0.0108485,-29.673,-3.851,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,8,0,3031.8,3038.4,3047.6,15.9,0.482,56,128.8,0.0109121,-23.979,-3.579,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,9,0,3155.9,3161.5,3169.7,13.8,0.526,92,139.2,0.0108182,-32.382,-0.830,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,10,0,3401.7,3409.6,3418.6,16.9,1.039,147,126.3,0.0108507,-29.470,-2.770,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,11,0,3584.1,3609.4,3617.4,33.2,2.351,230,246.3,0.0108433,-30.138,-2.076,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,12,0,3666.3,3667.5,3671.1,4.8,0.130,58,400.4,0.0100377,-102.189,-293.505,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,13,0,3699.9,3729.2,3731.7,31.8,42.462,1453,5.1,0.0111362,-3.935,-0.154,
05/21/16,06:59:26,12206,102,AW_T_2-1,AW_T_2-1_-0001.dxf,14,0,3759.5,3788.8,3791.5,32.0,42.461,1451,5.2,0.0111361,-3.945,-0.168,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.859,1435,4.3,0.0111400,-3.597,0.087,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,2,0,97.0,125.6,129.2,32.2,41.647,1424,5.0,0.0111388,-3.699,0.084,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,3,1,156.8,186.2,188.9,32.2,41.733,1428,5.1,0.0111388,-3.700,-0.000,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,4,0,216.5,245.8,248.5,32.0,41.739,1428,5.2,0.0111387,-3.715,0.052,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,5,0,1737.2,1857.8,1917.4,180.2,31.271,200,4.2,0.0108510,-29.442,-3.135,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,6,0,2637.4,2648.2,2660.2,22.8,4.241,491,119.1,0.0108376,-30.644,-4.467,S-Metolachlor
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,7,0,2888.8,2904.9,2912.8,24.0,1.144,78,116.0,0.0108498,-29.550,-1.476,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,8,0,3030.5,3037.6,3046.8,16.3,0.554,63,138.2,0.0109188,-23.377,-0.615,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,9,0,3155.1,3160.7,3168.6,13.6,0.554,97,149.8,0.0108230,-31.948,-0.656,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,10,0,3400.4,3408.6,3418.0,17.6,1.101,155,137.7,0.0108395,-30.475,-5.264,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,11,0,3555.3,3608.8,3617.4,62.1,5.093,289,229.7,0.0108229,-31.962,-4.106,
05/21/16,08:10:10,12207,103,AW_T_2-2,AW_T_2-2_-0001.dxf,12,0,3666.1,3667.5,3671.3,5.2,0.178,77,435.8,0.0103500,-74.257,-59.388,
