Type;Exp;Temp;Theta;Days;C.SM;C.SD;Delta;SD
Biotic;CB;20;20;1;2.0497;0.02;-31.277;0.123
Biotic;CB;20;20;10;2.0598;0.02;-30.887;0.139
Biotic;CB;20;20;50;0.517;0.01;-26.782;0.421
Biotic;CB;20;20;100;0.5892;0.01;-27.949;0.502
Biotic;CB;20;20;200;0.0168;0;-24.497;0.364
Biotic;CB;20;40;1;2.2322;0.05;-30.617;0.192
Biotic;CB;20;40;10;3.0214;0.07;-31.751;0.077
Biotic;CB;20;40;50;1.4303;0.03;-28.847;0.155
Biotic;CB;20;40;100;0.4085;0.01;-27.148;0.391
Biotic;CB;20;40;200;0.1001;0;-25.677;0.57
Biotic;CB;30;20;1;2.026637348;0.02;-30.76;0.086278618
Biotic;CB;30;20;10;2.548769492;0.02;-28.67033333;0.152808159
Biotic;CB;30;20;50;0.143996461;0;-27.07033333;0.803284093
Biotic;CB;30;20;100;0.204169065;0;-29.12;0.881055049
Biotic;CB;30;20;200;0.013788629;0;-26.74166667;1.006962926
Biotic;CB;30;40;1;2.650229145;0.06;-30.5775;0.238294985
Biotic;CB;30;40;10;3.029299133;0.07;-29.94066667;0.168612969
Biotic;CB;30;40;50;0.729812742;0.02;-27.51733333;0.556019184
Biotic;CB;30;40;100;0.120092839;0;-29.09366667;0.598795736
Biotic;CB;30;40;200;0.039710328;0;-28.22466667;0.642166126
Abiotic;CA;20;20;1;2.348944674;0.02;-29.751;0.657945286
Abiotic;CA;20;20;10;2.354348613;0.02;-28.27766667;0.701901228
Abiotic;CA;20;20;50;2.227391693;0.03;-30.36333333;0.412234561
Abiotic;CA;20;20;100;1.150975029;0.01;-28.7105;0.122329473
Abiotic;CA;20;20;200;0.848956842;0.01;-29.35033333;0.143182867
Abiotic;CA;20;40;1;3.20619457;0.07;-30.198;0.007071068
Abiotic;CA;20;40;10;3.612598003;0.07;-30.4995;0.644174278
Abiotic;CA;20;40;50;2.091864144;0.05;-30.41933333;0.697961556
Abiotic;CA;20;40;100;1.499716191;0.03;-29.651;0.675994083
Abiotic;CA;20;40;200;1.20369188;0.04;-30.018;0.858427632
Abiotic;CA;30;20;1;2.377532649;0.02;-30.793;0.184057056
Abiotic;CA;30;20;10;3.011766793;0.08;-30.847;0.477238934
Abiotic;CA;30;20;50;1.783384808;0.02;-30.25733333;0.200572514
Abiotic;CA;30;20;100;0.829562272;0.01;-29.58366667;0.537945474
Abiotic;CA;30;20;200;0.565432536;0.01;-29.234;0.810344371
Abiotic;CA;30;40;1;3.103114612;0.07;-30.52066667;0.349767542
Abiotic;CA;30;40;10;3.495579174;0.08;-29.445;0.82680046
Abiotic;CA;30;40;50;2.174279817;0.05;-29.99166667;0.204509983
Abiotic;CA;30;40;100;1.907309725;0.04;-30.87833333;0.79404303
Abiotic;CA;30;40;200;1.546769938;0.05;-30.898;0.052325902
