WeekSubWeek;MES.mg.L;MES.sd;MO.mg.L;Conc.Solids.mug/gMES;Conc.Solids.ug/gMES.SD
W0-1;53,44444444;;0;0,64472898635092;0,0232375477245465
W1-1;62,5;;0,001;0,125889735831757;0,0270636852334274
W1-2;22,5;;-0,0018;0,435787160684896;0,123237063866661
W2-1;22,5;;-0,001;0,0793526710688331;0,00468371912358462
W2-2;5;;-0,0013;0,0507526961009355;0,00102720522480505
W3-1;197,5;;0,0058;0,0817748696570922;0,00134308933058554
W3-2;52,5;;0,0006;0,167069013356504;0,00940750353510219
W3-3;137,5;;0,0016;0,0312367423526143;0,00054625968673754
W4-1;242,5;;0,002;0,628218074611827;0,0167433481060712
W5-1;25;21,21320344;0,004;0,0200955447466337;0,00083910998964341
W5-2;105;7,071067812;0,007;0,0223238151561823;0,000347966589244485
W6-1;19;1,414213562;0,0009;0,0327649118747187;0,00119331778335481
W6-2;1647,5;3,535533906;0,0293;0,0324749504753211;0,00440262289710064
W6-3;9590,47619;0;0,191;0,301335742528458;0,0108440215895819
W6-4;425;1,414213562;0,0185;0,0575734835220774;0,00256199638531658
W7-1;121;38,18376618;0,0066;0,0250465668878298;0,00131929014466041
W8-1;17,75;8,131727984;0,0002;0,00972284898963942;0,000306589691027968
W9-1;11,79775281;;-0,0013;0,04083495152299;0,0235760702541436
W9-2;6640;4,714045208;0,1877;0,012539998506653;0,00723997151345363
W9-3;632,5;21,21320344;0,0213;0,257562492227582;0,148703774220745
W9-4;162,3333333;2,357022604;-0,4787;0,170103648223062;0,098209387091722
W10-1;109,8425197;28,39562665;0,0072;0,285096591877929;0,00294363103631313
W10-2;2027;74,95331881;0,0799;2,2004221993101;0,0364307293985086
W10-3;2243;91,92388155;0,0994;0,0333206387075076;0,000487049386505932
W10-4;1876,25;139,6535893;0,0631;0,0631145389671154;0,000560364438157891
W10-5;570,625;73,36232855;0,0357;0,0667628469880093;0,00149948975809853
W11-1;150,5;30,40559159;0,0202;0,0332078127807182;0,000545784749270993
W11-2;1377;49,49747468;0,1236;0,0484131730889091;0,000441335856118419
W11-3;14572;113,137085;0,6916;0,0617283429394929;0,000871530536543598
W12-1;1645;32,52691193;0,0742;0,202083305717919;0,00276931515091113
W12-2;33,75;10,25304833;0,0023;0,0301402316294189;0,0174024351236163
W12-3;2382;45,254834;0,1104;0,0862604674378649;0,0012713790048027
W12-4;71;22,627417;0,0037;0,0461557231513497;0,026661116655478
W13-1;385;;-0,1757;0,0805073495095356;0,0466876959590953
W13-2;796,5625;794,1693036;0,0248;0,0450666485315605;0,000863370020672282
W13-3;66,25;;0,0232;0,0632954706768891;0,00121159084852642
W14-1;54,03846154;12,2383866;0,0041;0,0910979338218664;0,00224095208416445
W15-1;50;;0,0008;0,0886267128028998;0,0511686564941458
