ID;Week;Wnum;Num;Levl;Repl;d 13C/12C;DD13(32.253);ng (C)
AFP;W2;1;1;;1;-26.20;6.056;0.730088496
AFP;W2;1;1;;2;-29.23;3.023;0.829646018
AFP;W2;1;1;;3;-29.33;2.927;0.829646018
AFP;W2;2;2;;1;-31.66;0.592;0.663716814
AFP;W2;2;2;;2;-27.35;4.906;0.730088496
AFP;W2;2;2;;3;-27.07;5.186;0.730088496
AFP;W6;3;3;;1;-28.92;3.333;1.095132743
AFP;W6;3;3;;2;-27.53;4.728;1.028761062
AFP;W6;3;3;;3;-30.70;1.549;1.061946903
AFP;W6;3;3;J+7;1;-32.23;0.023;1.39380531
AFP;W6;3;3;J+7;2;-30.48;1.777;1.294247788
AFP;W6;3;3;J+7;3;-29.58;2.678;1.294247788
AFP;W9;9;1;;1;-29.07;3.184;4.58041958
AFP;W9;9;1;;3;-26.60;5.653;3.776223776
AFP;W9;9;2;;1;-29.99;2.264;5.594405594
AFP;W9;9;2;;2;-29.81;2.440;5
AFP;W9;9;2;;3;-26.42;5.837;6.083916084
AFP;W9;9;3;;1;-28.83;3.423;3.216783217
AFP;W9;9;3;;2;-26.05;6.204;3.846153846
AFP;W9;9;3;;3;-29.09;3.164;4.230769231
AFP;W9;9;4;;1;-28.26;3.997;4.51048951
AFP;W9;9;4;;2;-25.18;7.072;3.671328671
AFP;W9;9;4;;3;-29.21;3.040;4.86013986
