Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W2_2-1_-0000.dxf,1, - , - ,CO2 Lhyges,37.4,66.0,69.2,31.8,0.000,1250,1480,1700,1.0,1.0,1.3,36.548,35.975,0.426,0.147,127527,35975,42597,48955,0.0119338,1.1840761,0.169,-4.257, - ,0.0040201,1.3607960,0.148,0.137, - ,0.0111291,-4.568,1.100663,0.0020055,0.148,0.200148,0.0004024,0.076
AO_W2_2-1_-0000.dxf,2, - , - ,CO2 Lhyges,97.2,126.4,129.0,31.8,0.000,1246,1475,1695,1.3,1.4,1.7,36.414,35.843,0.424,0.146,127051,35843,42436,48772,0.0119324,1.1839319,0.047,-4.378, - ,0.0040198,1.3606961,0.074,0.064, - ,0.0111277,-4.696,1.100524,0.0020053,0.074,0.200134,0.0004023,0.038
AO_W2_2-1_-0000.dxf,3*, - , - ,CO2 Lhyges,156.8,186.0,188.7,32.0,0.000,1243,1472,1691,1.4,1.5,1.8,36.395,35.824,0.424,0.146,126979,35824,42412,48743,0.0119318,1.1838763,0.000,-4.425, - ,0.0040195,1.3605950,0.000,-0.011, - ,0.0111272,-4.743,1.100472,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W2_2-1_-0000.dxf,4, - , - ,CO2 Lhyges,216.5,245.8,248.3,31.8,0.000,1246,1475,1695,1.4,1.5,1.8,36.414,35.844,0.424,0.146,127048,35844,42434,48771,0.0119316,1.1838535,-0.019,-4.444, - ,0.0040197,1.3606609,0.048,0.038, - ,0.0111269,-4.765,1.100448,0.0020053,0.049,0.200128,0.0004023,0.025
AO_W2_2-1_-0000.dxf,13+,S-Metolachlor,6,CO2 Lhyges,2249.5,2257.6,2265.8,16.3, - ,530,611,708,92.0,106.1,123.1,4.284,4.155,0.048,0.017,14502,4155,4798,5549,0.0116401,1.1549280,-24.452,-28.769,0.959,0.0039459,1.3356856,-18.308,-18.318,-1.506,0.0108430,-30.157,1.072672,0.0019686,-18.271,0.196470,0.0003985,-9.470
AO_W2_2-1_-0000.dxf,15+,S-Metolachlor,6,CO2 Lhyges,2249.5,2257.6,2265.8,16.3, - ,532,613,710,-16.1,-23.8,-25.8,4.311,4.181,0.048,0.017,14594,4181,4827,5586,0.0116366,1.1545835,-24.743,-29.058,0.661,0.0039468,1.3359876,-18.086,-18.096,-1.280,0.0108395,-30.476,1.072323,0.0019690,-18.048,0.196514,0.0003986,-9.354
AO_W2_2-1_-0000.dxf,16+,S-Metolachlor,6,CO2 Lhyges,2249.5,2257.6,2265.8,16.3, - ,531,612,709,30.4,25.5,42.8,4.295,4.166,0.048,0.017,14539,4166,4811,5563,0.0116401,1.1549361,-24.445,-28.762,0.966,0.0039453,1.3354737,-18.463,-18.474,-1.664,0.0108432,-30.144,1.072687,0.0019683,-18.427,0.196438,0.0003985,-9.551
AO_W2_2-1_-0000.dxf,17+,S-Metolachlor,16,CO2 Lhyges,2249.5,2257.6,2265.8,16.3, - ,530,611,708,92.2,106.4,123.4,4.280,4.151,0.048,0.017,14490,4151,4794,5545,0.0116378,1.1546995,-24.645,-28.961,-0.205,0.0039461,1.3357348,-18.272,-18.282,0.196,0.0108407,-30.365,1.072445,0.0019686,-18.234,0.196477,0.0003985,-9.451
AO_W2_2-1_-0000.dxf,6,S-Metolachlor, - ,CO2 Lhyges,2249.5,2257.6,2265.8,16.3,0.000,519,598,694,103.1,119.4,137.6,4.035,3.974,0.046,0.016,13874,3974,4585,5315,0.0116289,1.1538214,-25.387,-29.699, - ,0.0039519,1.3376996,-16.827,-16.838, - ,0.0108313,-31.211,1.071520,0.0019715,-16.787,0.196766,0.0003988,-8.697
AO_W2_2-1_-0000.dxf,8, - , - ,CO2 Lhyges,2764.4,2793.7,2796.2,31.8,0.000,1250,1480,1701,1.0,1.0,1.2,36.422,35.852,0.425,0.146,127091,35852,42453,48786,0.0119346,1.1841470,0.229,-4.197, - ,0.0040201,1.3607798,0.136,0.125, - ,0.0111298,-4.504,1.100733,0.0020055,0.135,0.200146,0.0004024,0.070
AO_W2_2-1_-0000.dxf,9, - , - ,CO2 Lhyges,2824.2,2853.5,2856.0,31.8,0.000,1250,1479,1700,1.3,1.4,1.6,36.513,35.941,0.426,0.147,127397,35941,42552,48905,0.0119325,1.1839447,0.058,-4.367, - ,0.0040199,1.3607118,0.086,0.075, - ,0.0111278,-4.685,1.100536,0.0020054,0.086,0.200136,0.0004023,0.044
