Filename,Peak Nr.,Component,Master Peak,Ref. Name,Start[s],Rt[s],End[s],Width[s],Sample Dilution[%],Ampl. 44[mV],Ampl. 45[mV],Ampl. 46[mV],BGD 44[mV],BGD 45[mV],BGD 46[mV],Area All[Vs],Area 44[Vs],Area 45[Vs],Area 46[Vs],rArea All[mVs],rArea 44[mVs],rArea 45[mVs],rArea 46[mVs],R 45CO2/44CO2,rR 45CO2/44CO2,rd 45CO2/44CO2[per mil]vs. CO2 Lhyges,d 45CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 45CO2/44CO2[per mil],R 46CO2/44CO2,rR 46CO2/44CO2,rd 46CO2/44CO2[per mil]vs. CO2 Lhyges,d 46CO2/44CO2[per mil]vs. VPDB VSMOW,DeltaDelta 46CO2/44CO2[per mil],R 13C/12C,d 13C/12C[per mil]vs. VPDB,AT% 13C/12C[%],R 18O/16O,d 18O/16O[per mil]vs. VSMOW,AT% 18O/16O[%],R 17O/16O,d 17O/16O
AO_W2_2-2_-0001.dxf,1, - , - ,CO2 Lhyges,37.2,66.7,69.4,32.2,0.000,1417,1665,1906,4.3,-0.5,1.5,41.329,40.686,0.478,0.164,143207,40686,47801,54719,0.0119454,1.1748591,0.160,-3.292, - ,0.0040197,1.3449073,0.055,0.046, - ,0.0111407,-3.531,1.101797,0.0020053,0.054,0.200130,0.0004023,0.028
AO_W2_2-2_-0001.dxf,2, - , - ,CO2 Lhyges,97.0,126.4,129.2,32.2,0.000,1410,1656,1897,5.0,0.3,2.4,41.219,40.578,0.477,0.164,142819,40578,47667,54573,0.0119437,1.1746936,0.019,-3.433, - ,0.0040197,1.3448823,0.036,0.028, - ,0.0111390,-3.681,1.101633,0.0020053,0.036,0.200126,0.0004023,0.019
AO_W2_2-2_-0001.dxf,3*, - , - ,CO2 Lhyges,156.8,186.2,188.9,32.2,0.000,1412,1659,1899,5.1,0.5,2.6,41.309,40.667,0.478,0.164,143127,40667,47770,54690,0.0119435,1.1746712,0.000,-3.452, - ,0.0040195,1.3448337,0.000,-0.008, - ,0.0111388,-3.700,1.101613,0.0020052,-0.000,0.200119,0.0004023,-0.000
AO_W2_2-2_-0001.dxf,4, - , - ,CO2 Lhyges,216.5,246.0,248.5,32.0,0.000,1415,1662,1903,5.2,0.6,2.7,41.384,40.741,0.479,0.164,143389,40741,47857,54790,0.0119435,1.1746730,0.002,-3.450, - ,0.0040195,1.3448384,0.003,-0.005, - ,0.0111389,-3.698,1.101614,0.0020052,0.003,0.200119,0.0004023,0.002
AO_W2_2-2_-0001.dxf,5, - , - ,CO2 Lhyges,1737.4,1773.8,1917.6,180.2,0.000,185,212,248,4.2,-0.7,0.9,30.625,30.158,0.346,0.121,105106,30158,34572,40377,0.0116556,1.1463595,-24.102,-27.470, - ,0.0040017,1.3388567,-4.444,-4.453, - ,0.0108528,-29.284,1.073628,0.0019964,-4.392,0.199242,0.0004014,-2.269
AO_W2_2-2_-0001.dxf,6, - , - ,CO2 Lhyges,2102.3,2115.1,2125.5,23.2,0.000,445,510,594,171.0,190.9,224.9,3.258,3.208,0.037,0.013,11173,3208,3676,4289,0.0116510,1.1459083,-24.486,-27.853, - ,0.0039956,1.3368333,-5.949,-5.957, - ,0.0108488,-29.638,1.073240,0.0019934,-5.897,0.198941,0.0004011,-3.047
AO_W2_2-2_-0001.dxf,7, - , - ,CO2 Lhyges,2313.2,2320.7,2333.7,20.5,0.000,262,300,349,131.2,145.4,171.9,1.869,1.841,0.021,0.007,6413,1841,2112,2460,0.0116697,1.1477419,-22.925,-26.297, - ,0.0039952,1.3366891,-6.056,-6.064, - ,0.0108675,-27.967,1.075069,0.0019932,-6.009,0.198919,0.0004011,-3.105
AO_W2_2-2_-0001.dxf,8, - , - ,CO2 Lhyges,2461.6,2468.3,2476.0,14.4,0.000,60,69,80,116.3,128.4,152.1,0.395,0.389,0.004,0.002,1355,389,447,519,0.0116972,1.1504486,-20.621,-24.001, - ,0.0039850,1.3332946,-8.580,-8.589, - ,0.0108961,-25.411,1.077866,0.0019881,-8.541,0.198413,0.0004005,-4.416
AO_W2_2-2_-0001.dxf,10,S-Metolachlor, - ,CO2 Lhyges,2639.0,2648.2,2658.1,19.0,0.000,163,186,217,101.4,111.3,132.0,1.406,1.385,0.016,0.006,4824,1385,1586,1853,0.0116429,1.1451116,-25.164,-28.529, - ,0.0039983,1.3377446,-5.271,-5.280, - ,0.0108405,-30.388,1.072420,0.0019947,-5.217,0.199077,0.0004012,-2.696
AO_W2_2-2_-0001.dxf,15+,S-Metolachlor,10,CO2 Lhyges,2639.0,2648.2,2658.1,19.0, - ,167,192,223,317.1,359.8,422.1,1.518,1.473,0.017,0.006,5125,1473,1687,1966,0.0116461,1.1454269,-24.896,-28.261,0.275,0.0039888,1.3345540,-7.644,-7.652,-2.385,0.0108447,-30.013,1.072831,0.0019900,-7.593,0.198602,0.0004007,-3.925
