Date,Time,Analysis,Row,Identifier 1,FileHeader: Filename,Peak Nr.,Is Ref.?,Start,Rt,End,Width,Area All,Ampl. 44,BGD 44,R 13C/12C,d 13C/12C,d 18O/16O,Component
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,1,0,37.2,66.7,69.4,32.2,41.243,1416,4.3,0.0111409,-3.515,0.072,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,2,0,97.0,126.4,129.2,32.2,41.169,1408,5.0,0.0111394,-3.648,0.034,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,3,1,156.8,186.0,188.9,32.2,41.231,1410,5.1,0.0111388,-3.700,-0.000,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,4,0,216.5,246.0,248.7,32.2,41.309,1413,5.2,0.0111394,-3.651,0.003,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,5,0,1737.2,1772.7,1917.4,180.2,33.816,210,4.2,0.0108531,-29.257,-9.720,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,6,0,2101.5,2114.7,2123.9,22.4,3.045,405,192.9,0.0108497,-29.557,-8.559,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,7,0,2312.8,2320.3,2333.7,20.9,1.977,281,152.9,0.0108708,-27.672,-8.508,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,8,0,2461.4,2468.1,2474.6,13.2,0.514,82,137.6,0.0109282,-22.543,-8.179,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,9,0,2560.7,2570.5,2581.8,21.1,1.850,242,122.2,0.0108850,-26.402,-7.922,
05/20/16,03:49:12,12183,79,AO_W2_1-1,AO_W2_1-1_-0001.dxf,10,0,2638.6,2650.5,2681.9,43.3,16.369,1758,125.0,0.0108428,-30.176,-7.482,S-Metolachlor
