ID;MOXA.ugL;MESA.ugL
A0-W0-1;4.8241;18.0553
A0-W0-1-SD;1.1414;3.4972
A0-W1-1;30.5312;45.9836
A0-W1-1-SD;10.1853;3.0370
A0-W1-2;32.4925;41.2805
A0-W1-2-SD;0.2431;0.8534
A0-W2-1;104.5413;98.5678
A0-W2-1-SD;1.1526;2.8262
A0-W2-2;26.8858;51.9525
A0-W2-2-SD;0.6100;0.1910
A0-W3-1;45.0807;24.0472
A0-W3-1-SD;2.6589;0.3269
A0-W3-2;200.6497;150.8430
A0-W3-2-SD;6.7615;2.2178
A0-W3-3;11.7541;18.0838
A0-W3-3-SD;0.7412;0.8223
A0-W4-1;0.8028;5.0475
A0-W4-1-SD;0.2452;0.4688
A0-W5-1;1.2520;3.8519
A0-W5-1-SD;1.0871;0.4690
A0-W5-2;6.5588;21.4337
A0-W5-2-SD;0.4586;0.8250
A0-W6-1;0.0802;1.7150
A0-W6-1-SD;0.0018;0.2037
A0-W6-2;2.0414;9.5367
A0-W6-2-SD;0.2463;0.3706
A0-W6-3;36.5264;81.4187
A0-W6-3-SD;1.5423;5.1281
A0-W6-3j7;180.0375;231.4665
A0-W6-3j7-SD;3.6392;2.2976
A0-W6-4;0.6693;5.6005
A0-W6-4-SD;0.0077;0.1068
A0-W7-1;1.2178;1.9258
A0-W7-1-SD;0.0994;0.1981
A0-W8-1;19.0577;67.2385
A0-W8-1-SD;0.2310;1.8174
A0-W9-1;10.8377;36.4060
A0-W9-1-SD;0.3662;0.1373
A0-W9-2;142.9697;300.3876
A0-W9-2-SD;3.0144;3.8354
A0-W9-3;162.4840;40.7884
A0-W9-3-SD;6.1969;1.1400
A0-W9-4;;
A0-W9-4-SD;;
A0-W10-1;21.3114;82.8755
A0-W10-1-SD;0.0517;1.8167
A0-W10-2;13.0950;12.0239
A0-W10-2-SD;0.1770;0.3058
A0-W10-3;45.6058;11.3149
A0-W10-3-SD;1.9266;0.1763
A0-W10-4;28.2526;10.0896
A0-W10-4-SD;0.1034;0.5162
A0-W10-5;36.0764;10.1445
A0-W10-5-SD;0.1795;0.0416
A0-W11-1;48.2268;117.1198
A0-W11-1-SD;0.5861;3.7826
A0-W11-2;8.7580;30.9854
A0-W11-2-SD;0.1773;0.1743
A0-W11-3;9.2409;105.3860
A0-W11-3-SD;0.5521;1.9914
A0-W12-1;10.8158;4.0298
A0-W12-1-SD;12.1884;2.1659
A0-W12-2;0.5549;1.7505
A0-W12-2-SD;0.0769;0.1236
A0-W12-3;2.6036;2.6664
A0-W12-3-SD;0.0834;0.0126
A0-W12-4;2.0856;4.1509
A0-W12-4-SD;0.0178;0.0164
A0-W13-1;33.6227;97.3014
A0-W13-1-SD;0.4726;26.2643
A0-W13-2;59.7616;42.2282
A0-W13-2-SD;0.7498;1.2710
A0-W13-3;111.9213;165.9650
A0-W13-3-SD;3.1636;10.7231
A0-W14-1;0.2404;17.2310
A0-W14-1-SD;0.0197;1.4648
A0-W15-1;13.7741;87.6085
A0-W15-1-SD;0.9689;0.8090
A0-W16-1;0.3773;3.4983
A0-W16-1-SD;0.0413;0.2061
