FileHeader: Filename;ID;Week;Wnum;SubWeek;WeekSubWeek;Repl;d 13C/12C
AO_W1_1-1_-0001.dxf;AO;W1;1;1;W1-1;1;-31.63
AO_W1_1-2_-0001.dxf;AO;W1;1;1;W1-1;2;-31.45
AO_W1_1-3_-0001.dxf;AO;W1;1;1;W1-1;3;-31.45
AO_W1_2-1_-0001.dxf;AO;W1;1;2;W1-2;1;-31.50
AO_W1_2-2_-0001.dxf;AO;W1;1;2;W1-2;2;-31.80
AO_W1_2-3_-0001.dxf;AO;W1;1;2;W1-2;3;-31.69
AO_W2_1-1_-0001.dxf;AO;W2;2;1;W2-1;1;-31.22
AO_W2_1-2_-0001.dxf;AO;W2;2;1;W2-1;2;-31.10
AO_W2_1-3_-0001.dxf;AO;W2;2;1;W2-1;3;-31.10
AO_W3_2-1_-0001.dxf;AO;W3;3;2;W3-2;1;-30.70
AO_W3_2-2_-0001.dxf;AO;W3;3;2;W3-2;2;-31.00
AO_W3_2-3_-0001.dxf;AO;W3;3;2;W3-2;3;-30.74
AO_W3_3-1_-0001.dxf;AO;W3;3;3;W3-3;1;-32.01
AO_W3_3-2_-0001.dxf;AO;W3;3;3;W3-3;2;-31.20
AO_W3_3-3_-0001.dxf;AO;W3;3;3;W3-3;3;-31.14
AO_W2_2-1_.dxf;AO;W2;2;2;W2-2;1;
AO_W2_2-2_.dxf;AO;W2;2;2;W2-2;2;-31.43
AO_W2_2-3_.dxf;AO;W2;2;2;W2-2;3;-30.82
AO_W2_2-1_-0000.dxf;AO;W2;2;2;W2-2;4;-31.68971
AO_W2_2-2_-0000.dxf;AO;W2;2;2;W2-2;5;-31.75767
AO_W2_2-3_-0000.dxf;AO;W2;2;2;W2-2;6;-30.7035
AO_W3_1-1_-0001.dxf;AO;W3;3;1;W3-1;1;-30.88
AO_W3_1-2_-0001.dxf;AO;W3;3;1;W3-1;2;-30.88
AO_W3_1-3_-0001.dxf;AO;W3;3;1;W3-1;3;-31.12
AO_W5_1-1_.dxf;AO;W5;5;1;W5-1;1;-31.485
AO_W5_1-2_.dxf;AO;W5;5;1;W5-1;2;-31.22625
AO_W5_1-3_.dxf;AO;W5;5;1;W5-1;3;-31.5686
AO_W5_2-1_-0001.dxf;AO;W5;5;2;W5-2;1;-31.25367
AO_W5_2-2_-0002.dxf;AO;W5;5;2;W5-2;2;-30.33933
AO_W5_2-3_-0002.dxf;AO;W5;5;2;W5-2;3;-30.65612
AO_W5_2-1_-0000.dxf;AO;W5;5;2;W5-2;1;-30.56
AO_W5_2-2_-0000.dxf;AO;W5;5;2;W5-2;2;-31.07
AO_W5_2-3_-0001.dxf;AO;W5;5;2;W5-2;3;-29.90
AO_W6_1-1_-0003.dxf;AO;W6;6;1;W6-1;1;
AO_W6_1-2_-0003.dxf;AO;W6;6;1;W6-1;2;
AO_W6_1-3_-0003.dxf;AO;W6;6;1;W6-1;6;
AO_W6_3-1_-0000.dxf;AO;W6;6;3;W6-3;1;-30.59
AO_W6_3-2_-0000.dxf;AO;W6;6;3;W6-3;2;-30.56
AO_W6_3-3_-0000.dxf;AO;W6;6;3;W6-3;3;-30.51
AO_W6_4-1_-0003.dxf;AO;W6;6;4;W6-4;1;-30.24
AO_W6_4-2_-0003.dxf;AO;W6;6;4;W6-4;2;-30.291
AO_W7_1-1_-0003.dxf;AO;W7;7;1;W7-1;1;
AO_W7_1-2_-0003.dxf;AO;W7;7;1;W7-1;2;
AO_W9_1-1_.dxf;AO;W9;9;1;W9-1;1;-30.16
AO_W9_1-2_.dxf;AO;W9;9;1;W9-1;2;-31.09
AO_W9_1-3_.dxf;AO;W9;9;1;W9-1;3;-30.40
AO_W9_1-3_.dxf;AO;W9;9;1;W9-1;3;-30.06
AO_W9_1-2_-0002.dxf;AO;W9;9;1;W9-1;4;-31.02
AO_W9_1-3_-0002.dxf;AO;W9;9;1;W9-1;5;-30.52
AO_W9_2-1_.dxf;AO;W9;9;2;W9-2;1;-31.30
AO_W9_2-2_.dxf;AO;W9;9;2;W9-2;2;-31.77
AO_W9_2-3_.dxf;AO;W9;9;2;W9-2;3;
AO_W9_2-1_0003.dxf;AO;W9;9;2;W9-2;4;-30.792
AO_W9_2-2_-0003.dxf;AO;W9;9;2;W9-2;5;-31.833
AO_W9_3-2_.dxf;AO;W9;9;3;W9-3;2;-29.62
AO_W9_3-3_.dxf;AO;W9;9;3;W9-3;3;-29.59
AO_W9_4-1_.dxf;AO;W9;9;4;W9-4;1;-29.69
AO_W9_4-2_.dxf;AO;W9;9;4;W9-4;2;-29.95
AO_W9_4-3_.dxf;AO;W9;9;4;W9-4;3;-29.61
AO_W10_1-1_.dxf;AO;W10;10;1;W10-1;1;
AO_W10_1-1_.dxf;AO;W10;10;1;W10-1;1b;
AO_W10_1-2_-0005.dxf;AO;W10;10;1;W10-1;2;-29.30
AO_W10_1-3_.dxf;AO;W10;10;1;W10-1;3;-29.11
AO_W10_1-2_-0005.dxf;AO;W10;10;1;W10-1;2;-28.81
AO_W10_2-3_.dxf;AO;W10;10;2;W10-2;3;-29.76
AO_W10_2-1_.dxf;AO;W10;10;2;W10-2;1;-30.23
AO_W10_2-2_.dxf;AO;W10;10;2;W10-2;2;
AO_W10_2-1_0005.dxf;AO;W10;10;2;W10-2;4;-29.48
AO_W10_2-2_0005.dxf;AO;W10;10;2;W10-2;5;-30.62
AO_W10_3-1_.dxf;AO;W10;10;3;W10-3;1;-29.83225
AO_W10_3-2_.dxf;AO;W10;10;3;W10-3;2;-30.44
AO_W10_3-3_.dxf;AO;W10;10;3;W10-3;3;-30.8535
AO_W10_4-1_.dxf;AO;W10;10;4;W10-4;1;
AO_W10_4-2_.dxf;AO;W10;10;4;W10-4;2;
AO_W10_4-3_.dxf;AO;W10;10;4;W10-4;3;
AO_W10_4-1_0001.dxf;AO;W10;10;4;W10-4;1;-30.77
AO_W10_4-2_0001.dxf;AO;W10;10;4;W10-4;2;-30.28
AO_W10_4-3_0001.dxf;AO;W10;10;4;W10-4;3;-31.04
AO_W10_5-1_0005.dxf;AO;W10;10;5;W10-5;4;-29.28
AO_W10_5-2_0005.dxf;AO;W10;10;5;W10-5;5;-29.39
AO_W10_5-1_.dxf;AO;W10;10;5;W10-5;1;-28.96
AO_W10_5-2_.dxf;AO;W10;10;5;W10-5;2;-29.65
AO_W10_5-3_.dxf;AO;W10;10;5;W10-5;3;-29.82
AO-W11-1-3_.dxf;AO;W11;11;1;W11-1;3;-28.456
AO-W11-1-2_.dxf;AO;W11;11;1;W11-1;2;-28.189
AO-W11-1-1_.dxf;AO;W11;11;1;W11-1;1;-29.051
AO_W11_2-1_.dxf;AO;W11;11;2;W11-2;1;-29.54
AO_W11_2-2_.dxf;AO;W11;11;2;W11-2;2;-29.88
AO_W11_2-3_.dxf;AO;W11;11;2;W11-2;3;-29.42
AO_W11_2-1_-0005.dxf;AO;W11;11;2;W11-2;4;-30.3734
AO_W11_2-2_-0005.dxf;AO;W11;11;2;W11-2;5;-29.7254
AO_W11_3-2_-0005.dx;AO;W11;11;3;W11-3;4;-30.359
