"Events";"Date.ti.x";"P.Cum";"P.Int";"Q.Max";"Q.Ave";"T.Hrs";"Vol";"Q.Ini";"SSM";"Date.ti.y";"DD13C.diss";"DD.diss.nrm";"SM.g.nrm";"TP.g.nrm";"PC1";"PC2";"Cluster";"CompareLutz";"QuantPCA";"Quantif";"Label";"EventLabel"
"0-1";2016-03-25 00:04:00;2,8;0,233983286908078;1,2486;1,20477462754017;11,9666666666667;14,4171363762307;1,2486;5,35273262511153;2016-03-25 00:04:00;NA;NA;3,46917297233483e-05;0,00146418406026327;-0,152145021598591;-0,061430566169047;1;NA;NA;NA;NA;NA
"0-2";2016-03-25 12:04:00;7,6;0,0920840064620355;1,38038798407296;1,21351066613737;82,5333333333333;100,155080311871;1,12438174261579;5,35273262511153;2016-03-25 12:04:00;NA;NA;1,32473325459711e-05;0,000968120487325788;-0,189682763104614;-0,065862705070533;1;NA;NA;NA;NA;NA
"0-3";2016-03-28 22:38:00;7,6;0,201948627103632;1,63778159364155;1,28471939896462;37,6333333333333;48,3482733810351;1,30809987139246;14,8753430346607;2016-03-28 22:38:00;NA;NA;4,35720219408756e-05;0,000546186765050929;-0,157467271897775;-0,0811926128607227;1;NA;NA;NA;NA;NA
"1-1";2016-03-30 12:18:00;16,8;0,616136919315403;38,3997898080141;14,3166474978249;27,2666666666667;390,367255107358;1,45607958518169;24,3979534442099;2016-03-30 12:18:00;0,740000000000002;1,31261993110073;0,000445861193236018;0,00463651733578763;-0,0582966084386988;-0,105534780721526;1;NA;NA;"1-1";NA;NA
"1-2";2016-03-31 15:36:00;6;0,259365994236311;18,6689719182762;15,5292991375118;23,1333333333333;359,244453381107;16,3343489410368;8,08300020107491;2016-03-31 15:36:00;0,586666666666666;0,980309839262321;0,000300467139054279;0,00313736182389038;-0,0860374958054936;-0,0102767666502045;1;NA;NA;"1-2";NA;NA
"1-3";2016-04-01 14:46:00;9,4;0,0975778546712803;15,8956400764712;9,1077197661138;96,3333333333333;877,377004135629;15,203628654395;7,93575534028406;2016-04-01 14:46:00;NA;NA;0,00071945239487762;0,0116758040133642;-0,133178306804148;-0,00358408823076609;1;NA;NA;NA;NA;NA
"10-1";2016-05-29 12:10:00;18,4;1,04545454545455;185,627883896231;16,5599531485507;17,6;291,455175414492;3,75775948982044;1935,26236475223;2016-05-29 12:10:00;0,826250000000002;0,329541272910145;0,00610427048089302;0,0920174668636606;0,142640850148355;-0,188351913045908;2;"10-1";"10-1";"10-1";"B";"B-1"
"10-2";2016-05-30 05:48:00;13,2;2,07329842931937;186,487595747524;88,6789641467239;6,36666666666667;564,589405067475;37,3219070028697;357,102798705178;2016-05-30 05:48:00;2,645;1,05092890546874;0,00530501466758113;0,0860263983065952;0,176667277618033;-0,0754111217442069;2;"10-2";"10-2";"10-2";"B";"B-2"
"10-3";2016-05-30 12:12:00;0,6;0,114649681528662;187,005876598019;91,4295130757144;5,23333333333333;478,481118429572;187,005876598019;77,6734348757845;2016-05-30 12:12:00;2,5;0,990228699512816;0,00447395702036242;0,0584059377867649;0,087767631986708;0,191490493571266;3;"10-3";"10-3";"10-3";"B";"B-3"
"10-4";2016-05-30 17:28:00;0,2;0,0108108108108108;65,5579382531767;47,9985138239316;18,5;887,972505742735;65,2019660205885;92,1902012263724;2016-05-30 17:28:00;NA;NA;0,00422157369134624;0,0827945255190991;-0,025769036920055;0,133144543205982;1;NA;NA;NA;NA;NA
"10-5";2016-05-31 12:00:00;5,8;0,118528610354223;35,0572482298323;19,8526044950751;48,9333333333333;971,454113292344;34,4923315641789;106,70696757696;2016-05-31 12:00:00;3,17666666666667;1,20979156301389;0,000374261188555763;0,0639101534769478;-0,0582851723769956;0,0300578906116585;1;NA;NA;"10-5";NA;NA
"11-1";2016-06-02 12:58:00;9,6;0,415584415584416;142,636592237813;25,7808782086433;23,1;595,53828661966;12,964651810119;1207,15610697805;2016-06-02 12:58:00;2,2275;0,837267857295834;0,00295702354154226;0,00891939147146418;0,0856153693079334;-0,0828351338161032;2;NA;"11-1";"11-1";"C";"C-1"
"12-1";2016-06-03 12:06:00;10,6;0,517915309446254;121,660868224042;43,5876816127707;20,4666666666667;892,094550341373;30,8639320921604;2000,9680764157;2016-06-03 12:06:00;1,87475;0,696639911383561;0,00174178106130769;0,0286626174241757;0,146295561070655;-0,0749475541549276;2;"12-1";"12-1";"12-1";"D";"D-1"
"12-2";2016-06-04 08:36:00;6,6;2,7887323943662;327,473311655984;229,221860184949;2,36666666666667;542,491735771046;62,7674300439219;1017,85011924043;2016-06-04 08:36:00;1,55333333333333;0,576444180169306;0,00150402662944317;0,0106184349931956;0,327366974696926;-0,0458948892730039;2;"12-2";"12-2";"12-2";"E";"E-1"
