"Date";"DateCheck";"sampleQ"
2016-03-25 12:04:00;"25/03/2016 12:04";1
2016-03-26 08:33:00;"26/03/2016 08:33";1
2016-03-27 06:04:00;"27/03/2016 06:04";1
2016-03-28 02:52:00;"28/03/2016 02:52";2
2016-03-28 22:37:00;"28/03/2016 22:37";2
2016-03-30 06:20:00;"30/03/2016 06:20";1
2016-03-31 01:15:00;"31/03/2016 01:15";1
2016-03-31 01:56:00;"31/03/2016 01:56";1
2016-03-31 02:34:00;"31/03/2016 02:34";1
2016-03-31 03:06:00;"31/03/2016 03:06";2
2016-03-31 03:39:00;"31/03/2016 03:39";2
2016-03-31 04:15:00;"31/03/2016 04:15";2
2016-03-31 04:58:00;"31/03/2016 04:58";3
2016-03-31 05:42:00;"31/03/2016 05:42";3
2016-03-31 06:30:00;"31/03/2016 06:30";3
2016-03-31 07:20:00;"31/03/2016 07:20";4
2016-03-31 08:12:00;"31/03/2016 08:12";4
2016-03-31 09:08:00;"31/03/2016 09:08";4
2016-03-31 10:07:00;"31/03/2016 10:07";5
2016-03-31 11:06:00;"31/03/2016 11:06";5
2016-03-31 12:10:00;"31/03/2016 12:10";5
2016-03-31 13:16:00;"31/03/2016 13:16";6
2016-03-31 14:25:00;"31/03/2016 14:25";6
2016-03-31 15:35:00;"31/03/2016 15:35";6
2016-03-31 16:48:00;"31/03/2016 16:48";7
2016-03-31 18:04:00;"31/03/2016 18:04";7
2016-03-31 19:21:00;"31/03/2016 19:21";7
2016-03-31 20:42:00;"31/03/2016 20:42";8
2016-03-31 22:05:00;"31/03/2016 22:05";8
2016-03-31 23:32:00;"31/03/2016 23:32";8
2016-04-01 00:54:00;"01/04/2016 00:54";9
2016-04-01 02:09:00;"01/04/2016 02:09";9
2016-04-01 03:15:00;"01/04/2016 03:15";9
2016-04-01 04:29:00;"01/04/2016 04:29";10
2016-04-01 05:46:00;"01/04/2016 05:46";10
2016-04-01 07:02:00;"01/04/2016 07:02";10
2016-04-01 08:20:00;"01/04/2016 08:20";11
2016-04-01 09:36:00;"01/04/2016 09:36";11
2016-04-01 10:51:00;"01/04/2016 10:51";11
2016-04-01 12:08:00;"01/04/2016 12:08";12
2016-04-01 13:26:00;"01/04/2016 13:26";12
2016-04-01 14:45:00;"01/04/2016 14:45";12
2016-04-05 15:07:00;"05/04/2016 15:07";1
2016-04-05 17:22:00;"05/04/2016 17:22";1
2016-04-05 18:29:00;"05/04/2016 18:29";1
2016-04-05 19:40:00;"05/04/2016 19:40";2
2016-04-05 20:49:00;"05/04/2016 20:49";2
2016-04-05 22:06:00;"05/04/2016 22:06";2
2016-04-05 23:28:00;"05/04/2016 23:28";3
2016-04-06 00:55:00;"06/04/2016 00:55";3
2016-04-06 02:23:00;"06/04/2016 02:23";3
2016-04-06 03:48:00;"06/04/2016 03:48";4
2016-04-06 05:07:00;"06/04/2016 05:07";4
2016-04-06 06:27:00;"06/04/2016 06:27";4
2016-04-06 07:48:00;"06/04/2016 07:48";5
2016-04-06 09:11:00;"06/04/2016 09:11";5
2016-04-06 10:35:00;"06/04/2016 10:35";5
2016-04-06 11:59:00;"06/04/2016 11:59";6
2016-04-06 13:25:00;"06/04/2016 13:25";6
2016-04-06 14:51:00;"06/04/2016 14:51";6
2016-04-06 16:17:00;"06/04/2016 16:17";7
2016-04-06 17:45:00;"06/04/2016 17:45";7
2016-04-06 19:14:00;"06/04/2016 19:14";7
2016-04-06 20:47:00;"06/04/2016 20:47";8
2016-04-06 22:22:00;"06/04/2016 22:22";8
2016-04-07 00:02:00;"07/04/2016 00:02";8
2016-04-07 01:44:00;"07/04/2016 01:44";9
2016-04-07 03:26:00;"07/04/2016 03:26";9
2016-04-07 05:14:00;"07/04/2016 05:14";9
2016-04-07 07:05:00;"07/04/2016 07:05";10
2016-04-07 09:01:00;"07/04/2016 09:01";10
2016-04-07 10:59:00;"07/04/2016 10:59";10
2016-04-07 13:05:00;"07/04/2016 13:05";11
2016-04-07 15:16:00;"07/04/2016 15:16";11
2016-04-07 17:30:00;"07/04/2016 17:30";11
2016-04-07 19:49:00;"07/04/2016 19:49";12
2016-04-07 22:10:00;"07/04/2016 22:10";12
2016-04-08 00:38:00;"08/04/2016 00:38";12
2016-04-15 20:54:00;"15/04/2016 20:54";1
2016-04-16 03:25:00;"16/04/2016 03:25";1
2016-04-16 07:43:00;"16/04/2016 07:43";1
2016-04-16 09:09:00;"16/04/2016 09:09";2
2016-04-16 10:27:00;"16/04/2016 10:27";2
2016-04-16 11:54:00;"16/04/2016 11:54";2
2016-04-16 13:06:00;"16/04/2016 13:06";3
2016-04-16 14:04:00;"16/04/2016 14:04";3
2016-04-16 15:03:00;"16/04/2016 15:03";3
2016-04-16 16:07:00;"16/04/2016 16:07";4
2016-04-16 17:18:00;"16/04/2016 17:18";4
2016-04-16 18:32:00;"16/04/2016 18:32";4
2016-04-16 19:48:00;"16/04/2016 19:48";5
2016-04-16 21:13:00;"16/04/2016 21:13";5
2016-04-16 22:20:00;"16/04/2016 22:20";5
2016-04-16 23:22:00;"16/04/2016 23:22";6
2016-04-17 00:14:00;"17/04/2016 00:14";6
2016-04-17 00:59:00;"17/04/2016 00:59";6
2016-04-17 01:36:00;"17/04/2016 01:36";7
2016-04-17 02:09:00;"17/04/2016 02:09";7
2016-04-17 02:40:00;"17/04/2016 02:40";7
2016-04-17 03:07:00;"17/04/2016 03:07";8
2016-04-17 03:32:00;"17/04/2016 03:32";8
2016-04-17 03:57:00;"17/04/2016 03:57";8
2016-04-17 04:22:00;"17/04/2016 04:22";9
2016-04-17 04:47:00;"17/04/2016 04:47";9
2016-04-17 05:13:00;"17/04/2016 05:13";9
2016-04-17 05:39:00;"17/04/2016 05:39";10
2016-04-17 06:06:00;"17/04/2016 06:06";10
2016-04-17 06:33:00;"17/04/2016 06:33";10
2016-04-17 07:00:00;"17/04/2016 07:00";11
2016-04-17 07:27:00;"17/04/2016 07:27";11
2016-04-17 07:52:00;"17/04/2016 07:52";11
2016-04-17 08:16:00;"17/04/2016 08:16";12
2016-04-17 08:40:00;"17/04/2016 08:40";12
2016-04-17 09:02:00;"17/04/2016 09:02";12
2016-04-18 14:57:00;"18/04/2016 14:57";1
2016-04-18 17:31:00;"18/04/2016 17:31";1
2016-04-18 20:30:00;"18/04/2016 20:30";1
2016-04-19 00:08:00;"19/04/2016 00:08";2
2016-04-19 04:16:00;"19/04/2016 04:16";2
2016-04-19 09:00:00;"19/04/2016 09:00";2
2016-04-19 14:07:00;"19/04/2016 14:07";3
2016-04-19 19:29:00;"19/04/2016 19:29";3
2016-04-20 01:54:00;"20/04/2016 01:54";3
