Filename;ID;Transect;Wnum;Sample Date;Date.Soil;Conc.mug/g dry soil;Conc.ComSoil.SD;Mass.Soil.g;theta.prct
AW-N-0x;AW;N;-1;30/03/2016;25/03/2016 00:04;0.068592974;0.010288946;;
AW-T-0x;AW;T;-1;30/03/2016;25/03/2016 00:04;0.043806464;0.00657097;;
AW-S-0x;AW;S;-1;30/03/2016;25/03/2016 00:04;0.076020979;0.011403147;;
AW-N-0;AW;N;0;30/03/2016;30/03/2016 12:18;1.037558485;0.155633773;;
AW-T-0;AW;T;0;30/03/2016;30/03/2016 12:18;0.934229335;0.1401344;;
AW-S-0;AW;S;0;30/03/2016;30/03/2016 12:18;3.737977611;0.560696642;;
AW-N-1;AW;N;1;05/04/2016;05/04/2016 15:08;1.854480987;0.176483204;5.05;27.4021545
AW-N-2;AW;N;2;14/04/2016;14/04/2016 13:52;5.628514952;0.058313366;5.0599;22.42968138
AW-N-3;AW;N;3;18/04/2016;18/04/2016 20:30;7.183662148;0.152796017;5.1233;25.90326879
AW-N-4;AW;N;4;26/04/2016;26/04/2016 11:50;4.223345133;0.600840786;5.0348;22.68964906
AW-N-5;AW;N;5;03/05/2016;03/05/2016 13:10;1.248904411;0.278037274;4.998;20.24627172
AW-N-6;AW;N;6;10/05/2016;10/05/2016 00:06;1.285325524;0.019135925;5.0119;16.30330102
AW-N-7;AW;N;7;17/05/2016;17/05/2016 09:16;1.750454812;0.313604719;5.0104;20.19358025
AW-N-8;AW;N;8;24/05/2016;24/05/2016 12:00;1.183860904;0.028442108;4.9984;24.98678075
AW-N-9;AW;N;9;31/05/2016;31/05/2016 12:00;1.001734733;0.035495092;4.9981;25.29898373
AW-N-10;AW;N;10;07/06/2016;07/06/2016 12:00;1.866402862;0.077662959;5.0129;14.36842271
AW-N-11;AW;N;11;14/06/2016;14/06/2016 13:06;1.300052437;0.101761818;5.0502;27.94163772
AW-N-12;AW;N;12;21/06/2016;21/06/2016 12:00;0.539267143;0.626292978;5.0137;34.33495065
AW-N-13;AW;N;13;28/06/2016;28/06/2016 08:56;0.356517638;0.111861049;4.9947;18.21121263
AW-N-14;AW;N;14;05/07/2016;04/07/2016 14:42;0.811785639;0.101761818;5.1659;7.837371077
AW-N-15;AW;N;15;12/07/2016;12/07/2016 01:00;1.115823402;0.16737351;5.0318;13.93353883
AW-S-1;AW;S;1;05/04/2016;05/04/2016 15:08;7.623602113;0.11071771;5.068;29.65556934
AW-S-2;AW;S;2;14/04/2016;14/04/2016 13:52;3.686627797;0.310806228;5.0461;22.32669972
AW-S-3;AW;S;3;18/04/2016;18/04/2016 20:30;4.918231505;0.186857153;5.0345;25.46060036
AW-S-4;AW;S;4;26/04/2016;26/04/2016 11:50;2.596176704;0.029371373;5.0335;22.51986343
AW-S-5;AW;S;5;03/05/2016;03/05/2016 13:10;3.224764562;0.027161247;5.0501;26.48760348
AW-S-6;AW;S;6;10/05/2016;10/05/2016 00:06;2.454447695;0.059438058;5.0581;16.64155533
AW-S-7;AW;S;7;17/05/2016;17/05/2016 09:16;1.779697273;0.040502218;5.0145;34.81724025
AW-S-8;AW;S;8;24/05/2016;24/05/2016 12:00;1.245562032;0.043844607;5.0022;26.30778559
AW-S-9;AW;S;9;31/05/2016;31/05/2016 12:00;1.210360454;0.018424565;5.0101;26.79556004
AW-S-10;AW;S;10;07/06/2016;07/06/2016 12:00;2.363893981;0.800041607;5.0075;21.36371747
AW-S-11;AW;S;11;14/06/2016;14/06/2016 13:06;0.864562637;0.668999128;5.0083;26.87485105
AW-S-12;AW;S;12;21/06/2016;21/06/2016 12:00;0.902910201;0.021019823;4.9981;28.72851026
AW-S-13;AW;S;13;28/06/2016;28/06/2016 08:56;1.392656465;0.20889847;5.0437;17.72003181
AW-S-14;AW;S;14;05/07/2016;04/07/2016 14:42;1.192365363;0.178854804;5.0243;8.03177187
AW-S-15;AW;S;15;12/07/2016;12/07/2016 01:00;1.35450251;0.203175376;5.0093;13.93353883
