Filename,ID,Transect,Num,Repl,d 13C/12C
AW-N-1,AW,N,1,1,-31.89
AW-N-1,AW,N,1,2,-31.39
AW-N-1,AW,N,1,3,-30.90
AW-N-10,AW,N,10,1,-29.90
AW-N-10,AW,N,10,3,-29.56
AW-N-10,AW,N,10,4,
AW-N-10,AW,N,10,5,-29.89
AW-N-10,AW,N,10,6,
AW-N-11,AW,N,11,1,-29.43
AW-N-11,AW,N,11,3,-29.52
AW-N-11,AW,N,11,2,
AW-N-13,AW,N,13,3,-29.50
AW-N-2,AW,N,2,1,-31.21
AW-N-2,AW,N,2,2,-31.33
AW-N-2,AW,N,2,3,-31.12
AW-N-3,AW,N,3,1,-31.78
AW-N-3,AW,N,3,2,-32.08
AW-N-3,AW,N,3,3,-31.59
AW-N-4,AW,N,4,2,-31.52
AW-N-4,AW,N,4,3,-31.76
AW-N-4,AW,N,4,1,-31.96
AW-N-5,AW,N,5,2,-30.75
AW-N-5,AW,N,5,3,-30.59
AW-N-6,AW,N,6,1,-29.78
AW-N-6,AW,N,6,2,-29.37
AW-N-6,AW,N,6,3,-29.09
AW-N-7,AW,N,7,1,
AW-N-7,AW,N,7,2,
AW-N-7,AW,N,7,3,
AW-N-8,AW,N,8,1,
AW-N-8,AW,N,8,2,-29.66
AW-N-8,AW,N,8,2,-29.62
AW-N-8,AW,N,8,3,-29.58
AW-N-8,AW,N,8,3,-29.54
AW-N-9,AW,N,9,2,
AW-N-9,AW,N,9,3,
AW-S-4,AW,S,4,1,-30.51
AW-S-4,AW,S,4,2,-30.64
AW-S-4,AW,S,4,3,-30.74
AW-S-1,AW,S,1,1,-31.82
AW-S-1,AW,S,1,2,-31.12
AW-S-1,AW,S,1,3,-30.77
AW-S-10,AW,S,10,1,-29.14
AW-S-10,AW,S,10,2,-28.79
AW-S-10,AW,S,10,3,-28.91
AW-S-2,AW,S,2,1,-30.63
AW-S-2,AW,S,2,2,-31.46
AW-S-2,AW,S,2,3,-31.11
AW-S-3,AW,S,3,1,-30.92
AW-S-3,AW,S,3,2,-30.47
AW-S-3,AW,S,3,3,-31.41
AW-S-5,AW,S,5,1,-30.34
AW-S-5,AW,S,5,2,-31.13
AW-S-5,AW,S,5,3,-30.97
AW-S-6,AW,S,6,1,-31.08
AW-S-6,AW,S,6,2,-31.31
AW-S-6,AW,S,6,3,-30.79
AW-S-6,AW,S,6,1,
AW-S-6,AW,S,6,2,
AW-S-6,AW,S,6,3,
AW-S-7,AW,S,7,1,-30.16
AW-S-7,AW,S,7,2,-29.03
AW-S-7,AW,S,7,3,-29.25
AW-S-8,AW,S,8,1,
AW-S-8,AW,S,8,2,
AW-S-8,AW,S,8,3,
AW-S-9,AW,S,9,1,-28.77
AW-S-9,AW,S,9,2,-28.28
AW-S-9,AW,S,9,3,-28.79
AW-T-1,AW,T,1,1,-30.44
AW-T-1,AW,T,1,2,-29.59
AW-T-1,AW,T,1,3,-29.88
AW-T-10,AW,T,10,1,-29.56
AW-T-10,AW,T,10,2,-30.14
AW-T-10,AW,T,10,3,-29.38
AW-T-11,AW,T,11,1,-29.78
AW-T-11,AW,T,11,2,-29.97
AW-T-11,AW,T,11,3,-29.86
AW-T-2,AW,T,2,1,-31.94
AW-T-2,AW,T,2,2,-31.69
AW-T-2,AW,T,2,3,-31.71
AW-T-3,AW,T,3,1,-30.98
AW-T-3,AW,T,3,2,-30.57
AW-T-3,AW,T,3,3,-31.68
AW-T-4,AW,T,4,2,-30.29
AW-T-4,AW,T,4,3,-30.52
AW-T-4,AW,T,4,1,-31.12
AW-T-5,AW,T,5,1,-29.98
AW-T-5,AW,T,5,2,-30.26
AW-T-5,AW,T,5,3,-29.17
AW-T-6,AW,T,6,1,-28.86
AW-T-6,AW,T,6,3,-29.84
AW-T-7,AW,T,7,4,
AW-T-7,AW,T,7,5,
AW-T-7,AW,T,7,6,
AW-T-8,AW,T,8,1,
AW-T-8,AW,T,8,2,
AW-T-8,AW,T,8,3,
AW-T-9,AW,T,9,1,-30.27
AW-T-9,AW,T,9,2,-30.64
AW-T-9,AW,T,9,3,-30.59
AW-S-14,AW,S,14,3,
AW-S-14,AW,S,14,2,
AW-S-14,AW,S,14,1,
AW-T-14,AW,T,14,3,-27.80
AW-T-14,AW,T,14,2,-28.00
AW-T-14,AW,T,14,1,
AW-T-14,AW,T,14,5,
AW-N-14,AW,N,14,3,-28.68
AW-N-14,AW,N,14,2,-29.25
AW-N-14,AW,N,14,1,
AW-S-13,AW,S,13,3,
AW-S-13,AW,S,13,2,
AW-S-13,AW,S,13,1,
AW-S-12,AW,S,12,3,-28.61
AW-S-12,AW,S,12,2,-28.03
AW-S-12,AW,S,12,1,-27.86
AW-T-12,AW,T,12,3,-29.63
AW-T-12,AW,T,12,2,-29.73
AW-T-12,AW,T,12,1,-29.26
AW-T-12,AW,T,12,5,
AW-S-11,AW,S,11,3,-27.36
AW-S-11,AW,S,11,2,-28.15
AW-S-11,AW,S,11,1,-27.27
AW-T-13,AW,T,13,1,-29.14
AW-T-13,AW,T,13,2,-29.94
AW-T-13,AW,T,13,3,-29.87
