Filename,ID,Week,Num,Repl,d 13C/12C,DD13(32.253),Ave & STDEV,Deleted d13,Deleted DD,Rt,Ampl  44,Std Ampl.,ng (C)
AW-N-1,AW,N,1,1,-31.88938462,0.364,0.493,,,2648.2,120,904,3.982300885
AW-N-1,AW,N,1,2,-31.3949375,0.858,,,,2648,115,904,3.816371681
AW-N-1,AW,N,1,3,-30.9038125,1.349,,-29.546,1.664,2648,109,904,3.617256637
AW-N-10,AW,N,10,1,-29.90,,,,,2655.6,155,658,7.066869301
AW-N-10,AW,N,10,3,-29.56,,,,,2656.4,183,658,8.343465046
AW-N-10,AW,N,10,4,,,0.197,-32.39275,2.354,,,,
AW-N-10,AW,N,10,5,-29.894,2.697,,,,,,,
AW-N-10,AW,N,10,6,,,,-31.4075,0.846,,,,
AW-N-11,AW,N,11,1,-29.43,2.827,0.063,,,2656,202,658,9.209726444
AW-N-11,AW,N,11,3,-29.52,2.738,,,,2656,177,658,8.069908815
AW-N-11,AW,N,11,2,,,,Nothing,,,,,
AW-N-13,AW,N,13,3,-29.50,2.752,,Revise,Revise,2709.5,45,858,1.573426573
AW-N-2,AW,N,2,1,-31.21,1.043,,,,2649.5,536,858,18.74125874
AW-N-2,AW,N,2,2,-31.33,0.921,,,,2648.4,510,858,17.83216783
AW-N-2,AW,N,2,3,-31.12,1.131,,,,2648.4,530,858,18.53146853
AW-N-3,AW,N,3,1,-31.7805,,0.249,-31.63,0.619,2648.2,338,858,11.81818182
AW-N-3,AW,N,3,2,-32.08333333,,,-30.84,1.417,2647.8,353,858,12.34265734
AW-N-3,AW,N,3,3,-31.58933333,,,-31.20,1.055,2648,354,858,12.37762238
AW-N-4,AW,N,4,2,-31.51783333,,,-30.10,2.157,2669.3,201,904,6.670353982
AW-N-4,AW,N,4,3,-31.75625,,,-29.41,2.845,2668.9,190,904,6.305309735
AW-N-4,AW,N,4,,-31.9572,,,,,,,,
AW-N-5,AW,N,5,2,-30.75333333,,0.557,-27.43,4.821,2668.9,67,904,2.223451327
AW-N-5,AW,N,5,3,-30.59066667,,,-27.61,4.648,2669.3,68,904,2.256637168
AW-N-6,AW,N,6,1,-29.78,2.478,,,,2668.9,130,904,4.314159292
AW-N-6,AW,N,6,2,-29.37,2.883,,,,2669.1,132,904,4.380530973
AW-N-6,AW,N,6,3,-29.09,3.159,,Peak 17+,,2668.9,137,904,4.546460177
AW-N-7,AW,N,7,1,,,,-27.959,3.251,2655.1,203,658,9.255319149
AW-N-7,AW,N,7,2,,,,-26.546,4.664,2655.6,92,658,4.194528875
AW-N-7,AW,N,7,3,,,,-25.449,5.761,2656,98,658,4.468085106
AW-N-8,AW,N,8,1,,,,-24.987,6.223,2655.6,86,658,3.920972644
AW-N-8,AW,N,8,2,-29.662,,0.053,-27.18,4.03,2667.9,1770,1047,50.71633238
AW-N-8,AW,N,8,2,-29.616,,,-30.55,1.700,2656.4,184,658,8.389057751
AW-N-8,AW,N,8,3,-29.57733333,,,-25.499,5.711,2664.1,777,1047,22.26361032
AW-N-8,AW,N,8,3,-29.54,2.715,,,,2656,82,658,3.738601824
AW-N-9,AW,N,9,2,,,,-30.771,0.439,2664.5,656,1047,18.7965616
AW-N-9,AW,N,9,3,,,,-27.684,3.526,2665,932,1047,26.70487106
AW-S-4,AW,S,4,1,-30.51,1.740,,,,2656.6,439,658,20.01519757
AW-S-4,AW,S,4,2,-30.64,1.617,,,,2656.4,324,658,14.77203647
AW-S-4,AW,S,4,3,-30.74,1.511,,,,2656.8,317,658,14.45288754
AW-S-1,AW,S,1,1,-31.04,1.211,,,,2649.3,384,904,12.74336283
AW-S-1,AW,S,1,2,-30.65,1.607,,,,2671.6,373,904,12.37831858
AW-S-1,AW,S,1,3,-30.77,1.484,,,,,359,904,11.91371681
AW-S-10,AW,S,10,1,-30.33433333,,0.070177816,-29.14,3.113,2656,207,658,9.43768997
AW-S-10,AW,S,10,2,-30.362,,,-30.37,1.884,2655.8,205,658,9.346504559
AW-S-10,AW,S,10,3,-30.46733333,,,-28.91,3.347,2655.8,175,658,7.978723404
AW-S-2,AW,S,2,1,-30.63,1.623,0.41456041,,,2648.2,544,858,19.02097902
AW-S-2,AW,S,2,2,-31.46,0.798,,,,2648.4,538,858,18.81118881
AW-S-2,AW,S,2,3,-31.11,1.139,,,,2648.7,526,858,18.39160839
AW-S-3,AW,S,3,1,-30.92,1.335,0.466680833,,,2649.3,652,858,22.7972028
AW-S-3,AW,S,3,2,-30.47,1.779,,,,2649.1,646,858,22.58741259
AW-S-3,AW,S,3,3,-31.41,0.846,,,,2648.4,651,858,22.76223776
AW-S-5,AW,S,5,1,-30.34,1.915,0.420674458,,,2669.1,203,904,6.736725664
AW-S-5,AW,S,5,2,-31.13,1.120,,,,2669.6,206,904,6.836283186
AW-S-5,AW,S,5,3,-30.97,1.279,,,,2669.1,199,904,6.603982301
AW-S-6,AW,S,6,1,-31.08,1.169,0.262172335,,,2669.1,180,904,5.973451327
AW-S-6,AW,S,6,2,-31.31,0.940,,,,2668.7,172,904,5.707964602
AW-S-6,AW,S,6,3,-30.79,1.463,,,,2668.5,177,904,5.873893805
AW-S-6,AW,S,6,1,,,,-30.323,0.887,2201,71,445,4.786516854
AW-S-6,AW,S,6,2,,,,-29.24,1.97,2201,73,445,4.921348315
AW-S-6,AW,S,6,3,,,,-28.697,2.513,2201.4,70,445,4.719101124
AW-S-7,AW,S,7,1,-30.159,,0.599328884,-28.64,3.615,,141,445,9.505617978
AW-S-7,AW,S,7,2,-29.02766667,,,-28.90,3.355,,164,445,11.05617978
AW-S-7,AW,S,7,,-29.25033333,,,,,,,,
AW-S-8,AW,S,8,1,,,0.802128003,-28.594,2.616,2665.6,1034,1047,29.62750716
AW-S-8,AW,S,8,2,-27.01,5.245,,,,2740.4,68,1047,1.948424069
AW-S-8,AW,S,8,3,-27.59,4.661,,,,2664.8,865,1047,24.78510029
AW-S-9,AW,S,9,1,-28.77,3.483,,,,2663.7,632,1047,18.10888252
AW-S-9,AW,S,9,2,-28.28,3.974,,,,2662.9,457,1047,13.09455587
AW-S-9,AW,S,9,3,-28.79,3.466,,,,2662.7,438,1047,12.55014327
AW-T-1,AW,T,1,1,-30.44,1.817,,,,2669.6,102,904,3.384955752
AW-T-1,AW,T,1,2,-29.59,2.665,,,,2669.3,103,904,3.418141593
AW-T-1,AW,T,1,3,-29.88,2.373,,,,2669.3,100,904,3.318584071
AW-T-10,AW,T,10,1,-29.56,2.693,0.397614554,,,2656.6,339,658,15.45592705
AW-T-10,AW,T,10,2,-30.14,2.115,,,,2656.4,403,658,18.37386018
AW-T-10,AW,T,10,3,-29.38,2.877,,,,2656,444,658,20.24316109
AW-T-11,AW,T,11,1,-29.78,2.470,0.091936572,,,2656.4,351,658,16.00303951
AW-T-11,AW,T,11,2,-29.97,2.287,,,,2656,345,658,15.72948328
AW-T-11,AW,T,11,3,-29.86,2.394,,,,2656.4,281,658,12.81155015
AW-T-2,AW,T,2,1,-31.94,0.314,,,,2648.9,462,858,16.15384615
AW-T-2,AW,T,2,2,-31.69,0.566,,,,2648.2,491,858,17.16783217
AW-T-2,AW,T,2,3,-31.71,0.545,,,,2648.2,490,858,17.13286713
AW-T-3,AW,T,3,1,-30.98,1.274,,,,2647.8,657,858,22.97202797
AW-T-3,AW,T,3,2,-30.57,1.687,,,,2649.1,579,858,20.24475524
AW-T-3,AW,T,3,3,-31.68,0.577,,,,2648.2,570,858,19.93006993
AW-T-4,AW,T,4,2,-30.29,1.968,,,,2668.7,241,904,7.997787611
AW-T-4,AW,T,4,3,-30.52,1.736,,,,2669.1,246,904,8.163716814
AW-T-4,AW,T,4,1,-31.12,1.130,,,,,238,904,7.898230088
AW-T-5,AW,T,5,1,-29.98,2.274,0.565105595,,,2668.7,155,904,5.14380531
AW-T-5,AW,T,5,2,-30.26,1.995,,,,2672.1,27,904,0.896017699
AW-T-5,AW,T,5,3,-29.17,3.083,,,,2669.3,160,904,5.309734513
AW-T-6,AW,T,6,1,-28.86,3.389,,,,2669.1,158,904,5.243362832
AW-T-6,AW,T,6,3,-29.84,2.418,,,,2668.7,158,904,5.243362832
AW-T-7,AW,T,7,,,,"Rocky Mountain, reject",,,,100,755,3.973509934
AW-T-7,AW,T,7,,,,"Rocky Mountain, reject",,,,102,755,4.052980132
AW-T-7,AW,T,7,6,,,"Rocky Mountain, reject",,,,102,755,4.052980132
AW-T-8,AW,T,8,1,-30.62,1.635,0.407714361,,,2671.4,2883,1047,82.60744986
AW-T-8,AW,T,8,2,-30.55,1.706,,,,2667.3,1515,1047,43.40974212
AW-T-8,AW,T,8,3,-31.29,0.967,,,,2667.9,1753,1047,50.22922636
AW-T-9,AW,T,9,1,-30.268,,0.202952649,-30.91,1.347,2656.4,185,658,8.434650456
AW-T-9,AW,T,9,2,-30.64466667,,,-30.46,1.791,2656,182,658,8.29787234
AW-T-9,AW,T,9,3,-30.58733333,,,-30.64,1.613,2656.4,151,658,6.88449848
AW-S-14,AW,S,14,3,,,,-28.047,3.163,2726.8,148,858,5.174825175
AW-S-14,AW,S,14,2,,,,-28.676,2.534,2726.8,177,858,6.188811189
AW-S-14,AW,S,14,1,,,,-26.793,4.417,2727,167,858,5.839160839
AW-T-14,AW,T,14,3,-27.80,4.451,1.348037215,,,2729.7,182,858,6.363636364
AW-T-14,AW,T,14,2,-28.00,4.252,,Do +1,(Original smpl),2727.4,144,858,5.034965035
AW-T-14,AW,T,14,,,,,-25.57,6.680,,,,
AW-T-14,AW,T,14,5,,,Rocky,-27.50,4.755,,447,844,15.88862559
AW-N-14,AW,N,14,3,-28.68,3.572,1.338146604,,,2727,134,844,4.763033175
AW-N-14,AW,N,14,2,-29.25,3.007,,"Do +1, (original smp)",,2726.4,154,844,5.473933649
