Filename;ID;Week;Wnum;Repl;d 13C/12C
AW-N-1;AW;N;1;1;-31,846
AW-N-1;AW;N;1;2;-31,123
AW-N-1;AW;N;1;3;-29,546
AW-N-2;AW;N;2;1;-30,167
AW-N-2;AW;N;2;2;-30,289
AW-N-2;AW;N;2;3;-30,079
AW-N-3;AW;N;3;1;-30,591
AW-N-3;AW;N;3;2;-29,793
AW-N-3;AW;N;3;3;-30,155
AW-N-4;AW;N;4;1;-30,106
AW-N-4;AW;N;4;2;-29,053
AW-N-4;AW;N;4;3;-28,365
AW-N-5;AW;N;5;1;-29,513
AW-N-5;AW;N;5;2;-26,389
AW-N-5;AW;N;5;3;-26,562
AW-N-6;AW;N;6;1;-28,732
AW-N-6;AW;N;6;2;-28,327
AW-N-6;AW;N;6;3;-27,105
AW-N-7;AW;N;7;1;-28,038
AW-N-7;AW;N;7;2;-26,546
AW-N-7;AW;N;7;3;-25,449
AW-N-8;AW;N;8;1;-24,987
AW-N-8;AW;N;8;2;-25,557
AW-N-8;AW;N;8;3;-25,499
AW-N-9;AW;N;9;2;-30,771
AW-N-9;AW;N;9;3;-27,684
AW-N-10;AW;N;10;1;-28,312
AW-N-10;AW;N;10;3;-26,746
AW-N-11;AW;N;11;1;-27,828
AW-N-11;AW;N;11;3;-28,119
AW-N-12;AW;N;12;3;-23,563
AW-N-12;AW;N;12;2;-24,132
AW-N-12;AW;N;12;1;-23,389
AW-S-1;AW;S;1;1;-29,999
AW-S-1;AW;S;1;2;-29,603
AW-S-2;AW;S;2;1;-29,424
AW-S-2;AW;S;2;2;-30,412
AW-S-2;AW;S;2;3;-29,157
AW-S-3;AW;S;3;1;-29,875
AW-S-3;AW;S;3;2;-29,431
AW-S-3;AW;S;3;3;-30,364
AW-S-4;AW;S;4;1;-29,47
AW-S-4;AW;S;4;2;-29,593
AW-S-4;AW;S;4;3;-29,699
AW-S-4;AW;S;4;1;-26,83
AW-S-5;AW;S;5;1;-29,295
AW-S-5;AW;S;5;2;-30,09
AW-S-5;AW;S;5;3;-29,931
AW-S-6;AW;S;6;1;-30,323
AW-S-6;AW;S;6;2;-29,24
AW-S-6;AW;S;6;3;-28,697
AW-S-7;AW;S;7;1;-25,668
AW-S-7;AW;S;7;1;-26,566
AW-S-7;AW;S;7;2;-25,926
AW-S-8;AW;S;8;1;-28,594
AW-S-8;AW;S;8;2;-25,965
AW-S-8;AW;S;8;3;-26,549
AW-S-9;AW;S;9;1;-25,605
AW-S-9;AW;S;9;2;-24,651
AW-S-9;AW;S;9;3;-24,486
AW-S-10;AW;S;10;1;-26,761
AW-S-10;AW;S;10;2;-27,45
AW-S-10;AW;S;10;3;-27,264
AW-N-13;AW;N;13;3;-23,117
AW-N-13;AW;N;13;2;-21,562
AW-N-13;AW;N;13;1;-23,632
AW-S-11;AW;S;11;1;-24,481
AW-S-11;AW;S;11;2;-24,438
AW-S-11;AW;S;11;1;-25,085
AW-S-12;AW;S;12;3;-24,912
AW-S-12;AW;S;12;2;-25,721
AW-S-12;AW;S;12;1;-25,106
AW-T-1;AW;T;1;1;-29,393
AW-T-1;AW;T;1;2;-28,545
AW-T-1;AW;T;1;3;-28,837
AW-T-2;AW;T;2;1;-30,896
AW-T-2;AW;T;2;2;-30,644
AW-T-2;AW;T;2;3;-30,665
AW-T-3;AW;T;3;1;-29,936
AW-T-3;AW;T;3;2;-29,523
AW-T-3;AW;T;3;3;-30,633
AW-T-4;AW;T;4;2;-29,242
AW-T-4;AW;T;4;3;-29,474
AW-T-5;AW;T;5;1;-28,936
AW-T-5;AW;T;5;2;-29,215
AW-T-5;AW;T;5;3;-28,127
AW-T-6;AW;T;6;1;-27,821
AW-T-6;AW;T;6;2;-29,406
AW-T-6;AW;T;6;3;-28,792
AW-T-7;AW;T;7;1;-28,391
AW-T-7;AW;T;7;2;-31,173
AW-T-7;AW;T;7;3;-30,789
AW-T-8;AW;T;8;1;-29,575
AW-T-8;AW;T;8;2;-29,504
AW-T-8;AW;T;8;3;-30,243
AW-T-9;AW;T;9;1;-30,014
AW-T-9;AW;T;9;2;-28,405
AW-T-9;AW;T;9;3;-29,597
AW-T-10;AW;T;10;1;-28,517
AW-T-10;AW;T;10;2;-27,468
AW-T-10;AW;T;10;3;-27,073
AW-S-13;AW;S;13;3;-23,207
AW-S-13;AW;S;13;2;-22,036
AW-S-13;AW;S;13;1;-24,545
AW-S-14;AW;S;14;3;-28,047
AW-S-14;AW;S;14;2;-28,676
AW-S-14;AW;S;14;1;-26,793
AW-T-11;AW;T;11;1;-27,81
AW-T-11;AW;T;11;2;-27,701
AW-T-11;AW;T;11;3;-28,595
AW-T-12;AW;T;12;3;-25,329
AW-T-12;AW;T;12;2;-26,29
AW-T-12;AW;T;12;1;-24,029
AW-T-13;AW;T;13;3;-25,129
AW-T-13;AW;T;13;2;-23,637
AW-T-13;AW;T;13;1;-24,021
AW-T-14;AW;T;14;3;-26,759
AW-T-14;AW;T;14;2;-26,958
AW-T-14;AW;T;14;1;-24,53
AW-N-14;AW;N;14;3;-27,638
AW-N-14;AW;N;14;2;-28,203
AW-N-14;AW;N;14;1;-25,655
