"ID";"Transect";"Wnum";"Date.Soil";"Date.ti";"Conc.mug.g.dry.soil";"Conc.ComSoil.SD";"Mass.Soil.g";"theta.prct";"N_compsoil";"comp.d13C";"comp.d13C.SD";"N_isoComp";"prctError";"DD13C.comp";"comp.IMP.d13C";"MassSoil.g";"MassSoil.g.SD";"Area.N";"Area.T";"Area.S"
"AW-N-0x";"N";-1;"25/03/2016 00:04";2016-03-25 00:04:00;0,068592974;0,010288946;NA;NA;NA;NA;NA;NA;NA;NA;NA;102,56769268967;15,3851537539196;101721,702;39247,33;100245,721
"AW-S-0x";"S";-1;"25/03/2016 00:04";2016-03-25 00:04:00;0,076020979;0,011403147;NA;NA;NA;NA;NA;NA;NA;NA;NA;82,1519852335736;16,8038153824546;101721,702;39247,33;100245,721
"AW-T-0x";"T";-1;"25/03/2016 00:04";2016-03-25 00:04:00;0,043806464;0,00657097;NA;NA;NA;NA;NA;NA;NA;NA;NA;16,849010137663;3,79102751174847;101721,702;39247,33;100245,721
"AW-N-0";"N";0;"30/03/2016 12:18";2016-03-30 12:18:00;1,037558485;0,155633773;NA;NA;NA;NA;NA;NA;NA;NA;NA;1551,4705607755;232,720584490152;101721,702;39247,33;100245,721
"AW-S-0";"S";0;"30/03/2016 12:18";2016-03-30 12:18:00;3,737977611;0,560696642;NA;NA;NA;NA;NA;NA;NA;NA;NA;4039,44129030884;826,249355351663;101721,702;39247,33;100245,721
"AW-T-0";"T";0;"30/03/2016 12:18";2016-03-30 12:18:00;0,934229335;0,1401344;NA;NA;NA;NA;NA;NA;NA;NA;NA;359,32686866297;80,8485453049344;101721,702;39247,33;100245,721
"AW-N-1";"N";1;"05/04/2016 15:08";2016-04-05 15:08:00;1,854480987;0,176483204;5,05;27,4021545;3;-31,4;0,5;3;1,59235668789809;0,899999999999999;-31,4;2773,02214616691;263,89692671381;101721,702;39247,33;100245,721
"AW-S-1";"S";1;"05/04/2016 15:08";2016-04-05 15:08:00;7,623602113;0,11071771;5,068;29,65556934;3;-31,2333333333333;0,513160143944688;3;1,64298872127435;1,06666666666666;-31,2333333333333;8238,43702688723;163,154956996358;101721,702;39247,33;100245,721
"AW-T-1";"T";1;"05/04/2016 15:08";2016-04-05 15:08:00;1,707150777;0,038672698;5,0642;30,167024;3;-29,9666666666667;0,404145188432737;3;1,34864912713928;2,33333333333333;-29,9666666666667;656,610877065819;22,3116620638262;101721,702;39247,33;100245,721
"AW-N-2";"N";2;"14/04/2016 13:52";2016-04-14 13:52:00;5,628514952;0,058313366;5,0599;22,42968138;3;-31,2;0,0999999999999996;3;0,320512820512819;1,1;-31,2;8416,36917355336;87,1965021313733;101721,702;39247,33;100245,721
"AW-S-2";"S";2;"14/04/2016 13:52";2016-04-14 13:52:00;3,686627797;0,310806228;5,0461;22,32669972;3;-31,0666666666667;0,450924975282289;3;1,45147524232496;1,23333333333333;-31,0666666666667;5432,65932506293;NA;101721,702;39247,33;100245,721
"AW-T-2";"T";2;"14/04/2016 13:52";2016-04-14 13:52:00;3,518030954;0,066458216;5,0102;23,90270831;3;-31,7666666666667;0,115470053837925;3;0,363494398230613;0,533333333333331;-31,7666666666667;1353,11855365816;38,3421207580802;101721,702;39247,33;100245,721
"AW-N-3";"N";3;"18/04/2016 20:30";2016-04-18 20:30:00;7,183662148;0,152796017;5,1233;25,90326879;3;-31,8333333333333;0,251661147842358;3;0,790558579609503;0,466666666666661;-31,8333333333333;10851,4049532699;230,808662984705;101721,702;39247,33;100245,721
"AW-S-3";"S";3;"18/04/2016 20:30";2016-04-18 20:30:00;4,918231505;0,186857153;5,0345;25,46060036;3;-30,9333333333333;0,450924975282289;3;1,45773160112809;1,36666666666666;-30,9333333333333;7321,52019946505;278,164705893411;101721,702;39247,33;100245,721
"AW-T-3";"T";3;"18/04/2016 20:30";2016-04-18 20:30:00;5,093894891;0,329478054;5,0375;30,04397011;3;-31,1;0,556776436283001;3;1,79027793017042;1,2;-31,1;2968,83834052001;192,027338609473;101721,702;39247,33;100245,721
"AW-N-4";"N";4;"26/04/2016 11:50";2016-04-26 11:50:00;4,223345133;0,600840786;5,0348;22,68964906;3;-31,7666666666667;0,251661147842358;3;0,792217674215189;0,533333333333331;-31,7666666666667;6379,64694767332;907,610428636626;101721,702;39247,33;100245,721
"AW-S-4";"S";4;"26/04/2016 11:50";2016-04-26 11:50:00;2,596176704;0,029371373;5,0335;22,51986343;3;-30,6;0,0999999999999996;3;0,326797385620914;1,7;-30,6;3864,79574220787;43,7236637777023;101721,702;39247,33;100245,721
"AW-T-4";"T";4;"26/04/2016 11:50";2016-04-26 11:50:00;4,697419679;0,214465718;5,0558;23,37546468;3;-30,6333333333333;0,416333199893227;3;1,359085527399;1,66666666666666;-30,6333333333333;2737,76352730958;124,995521099289;101721,702;39247,33;100245,721
