POSTE,DATE,Rainfall ,Mean temperature (24 hourly values),ETPGRILLE
67516001,7/1/15,0,26.5,7.6
67516001,7/2/15,0,28.6,7.2
67516001,7/3/15,0,29.2,8
67516001,7/4/15,0,29.5,7.3
67516001,7/5/15,0,29.3,8.9
67516001,7/6/15,0,23.6,6.2
67516001,7/7/15,4.1,25.4,8.3
67516001,7/8/15,0.2,19.1,6.2
67516001,7/9/15,0,17.1,4.9
67516001,7/10/15,0,18.8,6.1
67516001,7/11/15,0,23.5,7.1
67516001,7/12/15,0,21.1,6.6
67516001,7/13/15,0,20.7,4.5
67516001,7/14/15,0,22.5,5.8
67516001,7/15/15,0,23.6,5.7
67516001,7/16/15,0,26.3,6.9
67516001,7/17/15,6.4,27.5,6.8
67516001,7/18/15,0,24,4.8
67516001,7/19/15,0,24.2,6.2
67516001,7/20/15,0,24.2,5.1
67516001,7/21/15,0,26.3,6.4
67516001,7/22/15,0,26,7.1
67516001,7/23/15,0,22.7,5.1
67516001,7/24/15,6.7,24.1,6.3
67516001,7/25/15,0.8,17.3,5
67516001,7/26/15,0.2,17,4.2
67516001,7/27/15,0,19,5.1
67516001,7/28/15,0.4,17.5,5.5
67516001,7/29/15,2.4,14.8,3.5
67516001,7/30/15,0,15.7,4.4
67516001,7/31/15,0,16.9,4.7
67516001,8/1/15,0,19,5
67516001,8/2/15,0,21.8,5.2
67516001,8/3/15,0,25,6.2
67516001,8/4/15,6.2,20.2,3.2
67516001,8/5/15,0,22.2,5.1
67516001,8/6/15,0,27.5,6.3
67516001,8/7/15,0,30,7.8
67516001,8/8/15,0,26.5,6.8
67516001,8/9/15,5,22.9,4.5
67516001,8/10/15,0,22.6,4.1
67516001,8/11/15,0,23.2,4.8
67516001,8/12/15,0,25.8,5.3
67516001,8/13/15,28.8,26.1,6.7
67516001,8/14/15,0.2,20.1,3
67516001,8/15/15,0.4,18.2,3.5
67516001,8/16/15,0.2,15.6,1.7
67516001,8/17/15,0.2,15.6,3
67516001,8/18/15,0,15.5,3.4
67516001,8/19/15,0,15.5,3.3
67516001,8/20/15,0,17.8,4
67516001,8/21/15,0,19.8,4.8
67516001,8/22/15,0,20.7,5.4
67516001,8/23/15,8.3,18.8,4.3
67516001,8/24/15,4.8,16.8,2
67516001,8/25/15,0,17.6,5.4
67516001,8/26/15,0,20.3,5.3
67516001,8/27/15,1.8,24.5,6.5
67516001,8/28/15,0.8,20.6,2.9
67516001,8/29/15,0,23.3,4.3
67516001,8/30/15,0,26.7,5.4
67516001,8/31/15,0.4,26.5,7.4
67516001,9/1/15,4,18.8,3.1
67516001,9/2/15,0,16.4,3
67516001,9/3/15,0,15.9,3.8
67516001,9/4/15,0,14.2,3.8
67516001,9/5/15,0.8,13.2,2.5
67516001,9/6/15,0,12.3,2.8
67516001,9/7/15,0,12.8,2
67516001,9/8/15,0,15.2,3.6
67516001,9/9/15,0,15.8,4.5
67516001,9/10/15,0,14.7,4.5
67516001,9/11/15,0.2,15.4,3.4
67516001,9/12/15,3.8,17.7,3.1
67516001,9/13/15,10.3,16.9,1.6
67516001,9/14/15,1.6,15.3,3.4
67516001,9/15/15,0.8,13.2,1.9
67516001,9/16/15,14,15.2,1.8
67516001,9/17/15,14.7,13.6,0.9
67516001,9/18/15,10.7,14.7,2.5
67516001,9/19/15,0.5,14.3,2.5
67516001,9/20/15,0.2,13.1,2
67516001,9/21/15,0,13.9,2.2
67516001,9/22/15,1.2,12.9,2
67516001,9/23/15,0.8,12,1.8
67516001,9/24/15,0,13.6,2
67516001,9/25/15,0,13.8,1.9
67516001,9/26/15,0,14.2,3.4
67516001,9/27/15,0,13.5,4.1
67516001,9/28/15,0,12,3.5
67516001,9/29/15,0,12.6,4.2
67516001,9/30/15,0,11.8,3.8
67516001,10/1/15,0,11.1,3.4
67516001,10/2/15,0,13.2,2.8
67516001,10/3/15,11.3,15.1,2.5
67516001,10/4/15,0.4,13.3,1.6
67516001,10/5/15,5.4,13.1,1.1
67516001,10/6/15,2.2,15.9,0.9
67516001,10/7/15,0.2,13.9,1.9
67516001,10/8/15,0,12,1.5
67516001,10/9/15,0,12.6,1.9
67516001,10/10/15,0,11.1,1.4
67516001,10/11/15,0,9.6,2
67516001,10/12/15,0,7.4,1.6
67516001,10/13/15,0,6.6,1.2
67516001,10/14/15,0,4.5,0.5
67516001,10/15/15,0,5.2,0.8
67516001,10/16/15,0,5.4,1.2
67516001,10/17/15,0,5.7,0.7
67516001,10/18/15,0,6.9,1
67516001,10/19/15,0,6.8,1
67516001,10/20/15,0,8,0.9
67516001,10/21/15,0,9.1,1
67516001,10/22/15,0.6,9.4,0.8
67516001,10/23/15,0,11.2,1.2
67516001,10/24/15,0,11.9,1.1
67516001,10/25/15,0.4,12.8,1.4
67516001,10/26/15,0.4,7.9,0.4
67516001,10/27/15,0.4,7.1,0
67516001,10/28/15,3.4,7.6,0.4
