"Date";"DateCheck";"Q.m3Hrs";"Qna"
2016-03-25 00:00:00;"25/03/2016 00:00";1,256;1,256
2016-03-25 00:02:00;"25/03/2016 00:02";1,219;1,219
2016-03-25 00:04:00;"25/03/2016 00:04";1,192;1,192
2016-03-25 00:06:00;"25/03/2016 00:06";1,212;1,212
2016-03-25 00:08:00;"25/03/2016 00:08";1,195;1,195
2016-03-25 00:10:00;"25/03/2016 00:10";1,219;1,219
2016-03-25 00:12:00;"25/03/2016 00:12";1,217;1,217
2016-03-25 00:14:00;"25/03/2016 00:14";1,23;1,23
2016-03-25 00:16:00;"25/03/2016 00:16";1,183;1,183
2016-03-25 00:18:00;"25/03/2016 00:18";1,205;1,205
2016-03-25 00:20:00;"25/03/2016 00:20";1,206;1,206
2016-03-25 00:22:00;"25/03/2016 00:22";1,191;1,191
2016-03-25 00:24:00;"25/03/2016 00:24";1,197;1,197
2016-03-25 00:26:00;"25/03/2016 00:26";1,21;1,21
2016-03-25 00:28:00;"25/03/2016 00:28";1,207;1,207
2016-03-25 00:30:00;"25/03/2016 00:30";1,219;1,219
2016-03-25 00:32:00;"25/03/2016 00:32";1,248;1,248
2016-03-25 00:34:00;"25/03/2016 00:34";1,217;1,217
2016-03-25 00:36:00;"25/03/2016 00:36";1,226;1,226
2016-03-25 00:38:00;"25/03/2016 00:38";1,208;1,208
2016-03-25 00:40:00;"25/03/2016 00:40";1,222;1,222
2016-03-25 00:42:00;"25/03/2016 00:42";1,229;1,229
2016-03-25 00:44:00;"25/03/2016 00:44";1,223;1,223
2016-03-25 00:46:00;"25/03/2016 00:46";1,209;1,209
2016-03-25 00:48:00;"25/03/2016 00:48";1,195;1,195
2016-03-25 00:50:00;"25/03/2016 00:50";1,209;1,209
2016-03-25 00:52:00;"25/03/2016 00:52";1,193;1,193
2016-03-25 00:54:00;"25/03/2016 00:54";1,169;1,169
2016-03-25 00:56:00;"25/03/2016 00:56";1,213;1,213
2016-03-25 00:58:00;"25/03/2016 00:58";1,225;1,225
2016-03-25 01:00:00;"25/03/2016 01:00";1,196;1,196
2016-03-25 01:02:00;"25/03/2016 01:02";1,256;1,256
2016-03-25 01:04:00;"25/03/2016 01:04";1,201;1,201
2016-03-25 01:06:00;"25/03/2016 01:06";1,225;1,225
2016-03-25 01:08:00;"25/03/2016 01:08";1,207;1,207
2016-03-25 01:10:00;"25/03/2016 01:10";1,207;1,207
2016-03-25 01:12:00;"25/03/2016 01:12";1,266;1,266
2016-03-25 01:14:00;"25/03/2016 01:14";1,216;1,216
2016-03-25 01:16:00;"25/03/2016 01:16";1,197;1,197
2016-03-25 01:18:00;"25/03/2016 01:18";1,222;1,222
2016-03-25 01:20:00;"25/03/2016 01:20";1,191;1,191
2016-03-25 01:22:00;"25/03/2016 01:22";1,219;1,219
2016-03-25 01:24:00;"25/03/2016 01:24";1,223;1,223
2016-03-25 01:26:00;"25/03/2016 01:26";1,211;1,211
2016-03-25 01:28:00;"25/03/2016 01:28";1,215;1,215
2016-03-25 01:30:00;"25/03/2016 01:30";1,207;1,207
2016-03-25 01:32:00;"25/03/2016 01:32";1,201;1,201
2016-03-25 01:34:00;"25/03/2016 01:34";1,206;1,206
2016-03-25 01:36:00;"25/03/2016 01:36";1,198;1,198
2016-03-25 01:38:00;"25/03/2016 01:38";1,221;1,221
2016-03-25 01:40:00;"25/03/2016 01:40";1,19;1,19
2016-03-25 01:42:00;"25/03/2016 01:42";1,231;1,231
2016-03-25 01:44:00;"25/03/2016 01:44";1,203;1,203
2016-03-25 01:46:00;"25/03/2016 01:46";1,225;1,225
2016-03-25 01:48:00;"25/03/2016 01:48";1,214;1,214
2016-03-25 01:50:00;"25/03/2016 01:50";1,176;1,176
2016-03-25 01:52:00;"25/03/2016 01:52";1,209;1,209
2016-03-25 01:54:00;"25/03/2016 01:54";1,201;1,201
2016-03-25 01:56:00;"25/03/2016 01:56";1,19;1,19
2016-03-25 01:58:00;"25/03/2016 01:58";1,232;1,232
2016-03-25 02:00:00;"25/03/2016 02:00";1,164;1,164
2016-03-25 02:02:00;"25/03/2016 02:02";1,266;1,266
2016-03-25 02:04:00;"25/03/2016 02:04";1,229;1,229
2016-03-25 02:06:00;"25/03/2016 02:06";1,21;1,21
2016-03-25 02:08:00;"25/03/2016 02:08";1,156;1,156
2016-03-25 02:10:00;"25/03/2016 02:10";1,223;1,223
2016-03-25 02:12:00;"25/03/2016 02:12";1,21;1,21
2016-03-25 02:14:00;"25/03/2016 02:14";1,204;1,204
2016-03-25 02:16:00;"25/03/2016 02:16";1,208;1,208
2016-03-25 02:18:00;"25/03/2016 02:18";1,192;1,192
2016-03-25 02:20:00;"25/03/2016 02:20";1,23;1,23
2016-03-25 02:22:00;"25/03/2016 02:22";1,243;1,243
2016-03-25 02:24:00;"25/03/2016 02:24";1,21;1,21
2016-03-25 02:26:00;"25/03/2016 02:26";1,191;1,191
2016-03-25 02:28:00;"25/03/2016 02:28";1,213;1,213
2016-03-25 02:30:00;"25/03/2016 02:30";1,211;1,211
2016-03-25 02:32:00;"25/03/2016 02:32";1,219;1,219
2016-03-25 02:34:00;"25/03/2016 02:34";1,164;1,164
2016-03-25 02:36:00;"25/03/2016 02:36";1,206;1,206
2016-03-25 02:38:00;"25/03/2016 02:38";1,221;1,221
2016-03-25 02:40:00;"25/03/2016 02:40";1,228;1,228
