	Soil	Aging	I	T	V	Cycle
CLNP4-1	1	1	135	6	28.35	1
CLNP2-1	1	1	55	12	23.10	1
CLNP3-1	1	1	55	30	57.75	1
CLNP1-1	1	1	30	30	31.50	1
CLYP4-1	1	2	135	6	28.35	1
CLYP2-1	1	2	55	12	23.10	1
CLYP3-1	1	2	55	30	57.75	1
CLYP1-1	1	2	30	30	31.50	1
VLNP4-1	2	1	135	6	28.35	1
VLNP2-1	2	1	55	12	23.10	1
VLNP3-1	2	1	55	30	57.75	1
VLNP1-1	2	1	30	30	31.50	1
VLYP4-1	2	2	135	6	28.35	1
VLYP2-1	2	2	55	12	23.10	1
VLYP3-1	2	2	55	30	57.75	1
VLYP1-1	2	2	30	30	31.50	1
CLNP4-2	1	1	135	6	28.35	2
CLNP2-2	1	1	55	12	23.10	2
CLNP3-2	1	1	55	30	57.75	2
CLNP1-2	1	1	30	30	31.50	2
CLYP4-2	1	2	135	6	28.35	2
CLYP2-2	1	2	55	12	23.10	2
CLYP3-2	1	2	55	30	57.75	2
CLYP1-2	1	2	30	30	31.50	2
VLNP1-2	2	1	30	30	31.50	2
VLYP4-2	2	2	135	6	28.35	2
VLYP2-2	2	2	55	12	23.10	2
VLYP3-2	2	2	55	30	57.75	2
VLYP1-2	2	2	30	30	31.50	2
