	%met	%Smet	%Cu	%Zn
CLNP4-1	9.58	1.54	0.04	0.03
CLNP2-1	10.44	1.43	0.02	0.03
CLNP3-1	44.46	8.14	2.46	0.65
CLNP1-1	27.55	4.12	0.09	0.06
CLYP4-1	20.06	3.15	0.00	0.14
CLYP2-1	18.56	2.49	0.04	0.12
CLYP3-1	25.48	4.11	3.07	2.19
CLYP1-1	34.02	4.49	0.07	0.17
VLNP4-1	15.58	2.77	0.03	0.00
VLNP2-1	17.47	2.76	0.03	0.00
VLNP3-1	35.39	6.89	1.18	0.02
VLNP1-1	20.96	3.52	0.07	0.00
VLYP4-1	6.89	0.76	0.02	0.00
VLYP2-1	16.32	1.62	0.01	0.00
VLYP3-1	24.11	3.18	0.86	0.33
VLYP1-1	25.31	2.75	0.02	0.00
CLNP4-2	14.35	1.77	0.04	0.00
CLNP2-2	22.50	2.71	0.07	0.00
CLNP3-2	4.68	0.73	0.00	0.00
CLNP1-2	8.78	0.95	0.05	0.00
CLYP4-2	3.98	1.00	0.00	0.01
CLYP2-2	16.43	1.90	0.00	0.04
CLYP3-2	15.57	2.36	0.00	0.02
CLYP1-2	9.21	0.85	0.00	0.00
VLNP1-2	19.65	2.74	0.04	0.00
VLYP4-2	5.95	0.46	0.01	0.00
VLYP2-2	9.12	0.75	0.00	0.00
VLYP3-2	8.05	0.83	0.00	0.00
VLYP1-2	1.35	0.10	0.01	0.00
CSNP4-1	7.59	1.27	0.73	0.54
CSNP2-1	11.05	1.54	0.78	0.57
CSNP3-1	35.30	6.32	28.33	16.85
CSNP1-1	9.73	1.37	1.73	1.19
CSYP4-1	14.06	1.84	1.19	0.64
CSYP2-1	3.42	0.40	1.19	0.63
CSYP3-1	24.23	3.64	23.61	10.99
CSYP1-1	19.93	2.63	1.84	0.89
VSNP4-1	14.58	2.02	0.63	0.02
VSNP2-1	13.26	2.18	0.76	0.03
VSNP3-1	14.90	2.56	16.36	0.86
VSNP1-1	19.91	3.23	1.30	0.07
VSYP4-1	17.91	3.65	0.96	0.08
VSYP2-1	19.60	3.63	0.74	0.00
VSYP3-1	35.20	7.73	14.68	0.14
VSYP1-1	23.00	4.68	1.29	0.00
CSNP4-2	0.56	0.06	0.41	0.08
CSNP2-2	20.15	2.24	0.55	0.12
CSNP3-2	8.90	1.08	0.57	0.05
CSNP1-2	19.51	2.78	0.74	0.13
CSYP4-2	3.33	0.56	0.06	0.02
CSYP3-2	8.26	0.83	0.10	0.01
VSNP4-2	3.98	0.00	0.44	0.00
VSNP1-2	8.69	0.79	0.31	0.00
VSYP4-2	9.12	1.37	0.33	0.00
VSYP2-2	13.20	1.93	0.61	0.00
VSYP3-2	18.86	3.67	12.06	0.05
VSYP1-2	21.50	3.33	0.91	0.00
