	%met	%Smet	%Cu	%Zn
CLNP4-1	9.58	1.54	0.04	0.03
CLNP2-1	10.44	1.43	0.02	0.03
CLNP3-1	44.46	8.14	2.46	0.65
CLNP1-1	27.55	4.12	0.09	0.06
CLYP4-1	20.06	3.15	0.00	0.14
CLYP2-1	18.56	2.49	0.04	0.12
CLYP3-1	25.48	4.11	3.07	2.19
CLYP1-1	34.02	4.49	0.07	0.17
VLNP4-1	15.58	2.77	0.03	0.00
VLNP2-1	17.47	2.76	0.03	0.00
VLNP3-1	35.39	6.89	1.18	0.02
VLNP1-1	20.96	3.52	0.07	0.00
VLYP4-1	6.89	0.76	0.02	0.00
VLYP2-1	16.32	1.62	0.01	0.00
VLYP3-1	24.11	3.18	0.86	0.33
VLYP1-1	25.31	2.75	0.02	0.00
CLNP4-2	14.35	1.77	0.04	0.00
CLNP2-2	22.50	2.71	0.07	0.00
CLNP3-2	4.68	0.73	0.00	0.00
CLNP1-2	8.78	0.95	0.05	0.00
CLYP4-2	3.98	1.00	0.00	0.01
CLYP2-2	16.43	1.90	0.00	0.04
CLYP3-2	15.57	2.36	0.00	0.02
CLYP1-2	9.21	0.85	0.00	0.00
VLNP1-2	19.65	2.74	0.04	0.00
VLYP4-2	5.95	0.46	0.01	0.00
VLYP2-2	9.12	0.75	0.00	0.00
VLYP3-2	8.05	0.83	0.00	0.00
VLYP1-2	1.35	0.10	0.01	0.00
