"","diff","lwr","upr","p adj","P"
"Outlet(Early)-Plateau(Early)",0.341666666666676,-14.1515661452918,14.8348994786251,0.999999753976627,1
"Valley(Early)-Plateau(Early)",4.0952380952381,-15.3274155024762,23.5178916929524,0.988798430156645,0.989
"Outlet(Late)-Plateau(Early)",18.2666666666667,-3.64504174122101,40.1783750745544,0.153432595939115,0.153
"Valley(Late)-Plateau(Early)",20.7666666666667,-1.14504174122103,42.6783750745544,0.0727427417965841,0.073
"Plateau(Late)-Plateau(Early)",27.4523809523809,8.02972735466665,46.8750345500953,0.00147006009812423,0.001
"Valley(Early)-Outlet(Early)",3.75357142857142,-14.8805850439466,22.3877279010895,0.990906459905881,0.991
"Outlet(Late)-Outlet(Early)",17.925,-3.29092043767551,39.1409204376755,0.143232715993945,0.143
"Valley(Late)-Outlet(Early)",20.425,-0.790920437675528,41.6409204376755,0.0654625804701624,0.065
"Plateau(Late)-Outlet(Early)",27.1107142857143,8.47655781319624,45.7448707582323,0.000989196811954973,0.001
"Outlet(Late)-Valley(Early)",14.1714285714286,-10.6741133919288,39.016970534786,0.546670045533565,0.547
"Valley(Late)-Valley(Early)",16.6714285714286,-8.17411339192881,41.5169705347859,0.365090399967933,0.365
"Plateau(Late)-Valley(Early)",23.3571428571429,0.676369879189469,46.0379158350962,0.0400275857114109,0.04
"Valley(Late)-Outlet(Late)",2.49999999999999,-24.3362524959884,29.3362524959884,0.999772904126226,1
"Plateau(Late)-Outlet(Late)",9.18571428571427,-15.6598276776431,34.0312562490716,0.88199195922434,0.882
"Plateau(Late)-Valley(Late)",6.68571428571428,-18.1598276776431,31.5312562490717,0.967069431647903,0.967
