,Filename,,,,,mean,N_out
1,AW,N,1,1,-0000.dxf,-31.88938462,13
2,AW,N,1,2,-0000.dxf,-31.3949375,16
3,AW,N,1,3,-0000.dxf,-30.9038125,16
4,AW,N,10,4,-0000.dxf,-32.39275,4
5,AW,N,10,5,-0000.dxf,-32.40233333,3
6,AW,N,10,6,-0000.dxf,-31.4075,4
7,AW,N,3,1,-0000.dxf,-31.7805,4
8,AW,N,3,5,-0000.dxf,-32.08333333,3
9,AW,N,3,6,-0000.dxf,-31.58933333,3
10,AW,N,4,4,-0000.dxf,-31.51783333,6
11,AW,N,4,5,-0000.dxf,-31.75625,4
12,AW,N,4,6,-0000.dxf,-31.9572,5
13,AW,N,5,1,-0000.dxf,-30.75333333,3
14,AW,N,5,2,-0000.dxf,-30.59066667,3
15,AW,N,5,3,-0000.dxf,-29.7178,5
16,AW,N,8,1,-0000.dxf,-29.662,3
17,AW,N,8,2,-0000.dxf,-29.616,4
18,AW,N,8,3,-0000.dxf,-29.57733333,3
19,AW,S,10,1,-0000.dxf,-30.33433333,3
20,AW,S,10,2,-0000.dxf,-30.362,3
21,AW,S,10,3,-0000.dxf,-30.46733333,3
22,AW,S,2,1,-0000.dxf,-32.651,3
23,AW,S,2,2,-0000.dxf,-32.1405,2
24,AW,S,2,3,-0000.dxf,-32.624,2
25,AW,S,3,1,-0000.dxf,-31.705,2
26,AW,S,3,5,-0000.dxf,-32.30733333,3
27,AW,S,3,6,-0000.dxf,-32.746,3
28,AW,S,7,1,-0000.dxf,-30.159,6
29,AW,S,7,2,-0000.dxf,-29.02766667,3
30,AW,S,7,3,-0000.dxf,-29.25033333,3
31,AW,S,8,1,-0000.dxf,-27.284,4
32,AW,S,8,2,-0000.dxf,-27.65833333,3
33,AW,T,5,1,-0000.dxf,-31.995,4
34,AW,T,5,2,-0000.dxf,-32.78175,4
35,AW,T,5,3,-0000.dxf,-32.0165,2
36,AW,T,6,1,-0000.dxf,-32.35725,4
37,AW,T,6,2,-0000.dxf,-32.60666667,3
38,AW,T,6,3,-0000.dxf,-32.31433333,3
39,AW,T,8,1,-0000.dxf,-30.20425,4
40,AW,T,8,2,-0000.dxf,-29.624,2
41,AW,T,8,3,-0000.dxf,-29.90575,4
42,AW,T,9,1,-0000.dxf,-30.268,3
43,AW,T,9,2,-0000.dxf,-30.64466667,3
44,AW,T,9,3,-0000.dxf,-30.58733333,3
45,AW,S,2,1,-0001.dxf,-31.002,10
46,AW,S,2,2,-0001.dxf,-31.56633333,6
47,AW,S,2,3,-0001.dxf,-30.66225,8
